month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-01,1170,1170.0,0,0,1170.0,1170.0,1170.0,1170.0,1170.0,0,1103,67,3376,3.19,2.6,0,2023-Q1
2023-02,869,1019.5,150.5,-1.0,1019.5,1170.0,1320.5,869.0,718.5,2,807,60,2501,2.37,1.9311,0,2023-Q1
2023-03,1056,1031.7,124.1,0.2,1031.7,1155.7,1279.8,907.6,783.5,1,916,139,2897,2.88,2.3467,0,2023-Q1
2023-04,975,1017.5,110.2,-0.39,1017.5,1127.7,1237.9,907.3,797.1,1,817,157,2618,2.44,2.0745,0,2023-Q2
2023-05,2394,1292.8,559.4,1.97,1292.8,1852.2,2411.5,733.4,174.1,1,998,1394,4398,5.99,5.0936,0,2023-Q2
2023-06,2049,1418.8,583.2,1.08,1418.8,2002.1,2585.3,835.6,252.4,1,1364,682,4784,5.12,4.3596,253.97,2023-Q2
2023-07,1401,1416.3,540.0,-0.03,1457.3,1956.3,2496.3,876.3,336.3,0,1067,333,3534,3.0,2.8592,201.66,2023-Q3
2023-08,1351,1408.1,505.6,-0.11,1537.7,1913.7,2419.3,902.5,397.0,0,1110,241,3571,2.9,2.7571,68.8,2023-Q3
2023-09,1095,1373.3,486.7,-0.57,1544.2,1860.1,2346.8,886.6,399.9,1,802,292,2708,2.35,2.2347,-90.77,2023-Q3
2023-10,1016,1337.6,474.0,-0.68,1551.0,1811.6,2285.7,863.6,389.5,1,806,209,2637,2.18,1.9922,-280.06,2023-Q4
2023-11,844,1292.7,473.7,-0.95,1292.7,1766.4,2240.2,819.0,345.3,2,753,87,2366,1.81,1.6549,-212.46,2023-Q4
2023-12,710,1244.2,481.3,-1.11,1069.5,1725.5,2206.8,762.9,281.6,0,626,84,1962,1.52,1.3922,-144.43,2023-Q4
2024-01,771,1210.9,498.7,-0.88,964.5,1709.7,2208.4,712.2,213.4,2,689,80,2167,1.54,1.4278,-120.77,2024-Q1
2024-02,686,1195.7,511.6,-1.0,853.7,1707.3,2218.9,684.1,172.5,1,620,65,1935,1.37,1.2704,-83.26,2024-Q1
2024-03,782,1172.8,523.3,-0.75,801.5,1696.1,2219.4,649.5,126.2,0,701,81,2184,1.56,1.4481,-45.23,2024-Q1
2024-04,787,1157.2,531.7,-0.7,763.3,1688.9,2220.6,625.4,93.7,0,686,101,2159,1.48,1.3569,-4.4,2024-Q2
2024-05,846,1028.2,383.0,-0.48,763.7,1411.2,1794.2,645.2,262.2,0,742,104,2330,1.59,1.4586,23.54,2024-Q2
2024-06,861,929.2,228.9,-0.3,788.8,1158.0,1386.9,700.3,471.5,0,764,97,2389,1.61,1.4845,26.71,2024-Q2
2024-07,1040,899.1,184.2,0.76,833.7,1083.3,1267.5,714.9,530.6,0,915,125,2870,1.84,1.6508,59.03,2024-Q3
2024-08,1078,876.3,138.1,1.46,899.0,1014.4,1152.5,738.2,600.1,0,937,141,2952,1.9,1.7111,64.4,2024-Q3
2024-09,998,868.2,127.5,1.02,935.0,995.7,1123.2,740.8,613.3,0,833,164,2663,1.76,1.5841,55.14,2024-Q3
2024-10,991,866.2,125.2,1.0,969.0,991.4,1116.7,740.9,615.7,0,820,171,2631,1.65,1.4157,33.54,2024-Q4
2024-11,736,857.2,130.3,-0.93,950.7,987.5,1117.8,726.9,596.6,0,627,109,1990,1.23,1.0514,-24.34,2024-Q4
2024-12,714,857.5,129.9,-1.1,926.2,987.4,1117.3,727.6,597.7,0,601,113,1916,1.19,1.02,-76.09,2024-Q4
2025-01,589,842.3,148.4,-1.71,851.0,990.8,1139.2,693.9,545.5,2,448,139,1503,1.04,0.8068,-101.49,2025-Q1
2025-02,532,829.5,166.9,-1.78,760.0,996.4,1163.3,662.6,495.7,2,349,180,1247,0.94,0.7288,-101.66,2025-Q1
