month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-01,2108,2108.0,0,0,2108.0,2108.0,2108.0,2108.0,2108.0,0,1602,506,5312,5.75,4.6844,0,2023-Q1
2023-02,1413,1760.5,347.5,-1.0,1760.5,2108.0,2455.5,1413.0,1065.5,2,1124,287,3679,3.85,3.14,0,2023-Q1
2023-03,1948,1823.0,297.2,0.42,1823.0,2120.2,2417.4,1525.8,1228.6,1,1395,551,4746,5.31,4.3289,0,2023-Q1
2023-04,1657,1781.5,267.2,-0.47,1781.5,2048.7,2315.9,1514.3,1247.1,1,1270,385,4205,4.14,3.5255,0,2023-Q2
2023-05,3532,2131.6,739.9,1.89,2131.6,2871.5,3611.3,1391.7,651.9,1,1521,2008,6581,8.83,7.5149,0,2023-Q2
2023-06,2918,2262.7,736.2,0.89,2262.7,2998.9,3735.2,1526.4,790.2,1,1943,972,6811,7.29,6.2085,289.03,2023-Q2
2023-07,2086,2237.4,684.4,-0.22,2259.0,2921.9,3606.3,1553.0,868.6,1,1499,585,5092,4.47,4.2571,232.86,2023-Q3
2023-08,2013,2209.4,644.5,-0.3,2359.0,2853.9,3498.4,1564.9,920.3,0,1503,509,5018,4.31,4.1082,28.51,2023-Q3
2023-09,1764,2159.9,623.6,-0.63,2328.3,2783.5,3407.0,1536.3,912.8,2,1154,607,4089,3.78,3.6,-138.69,2023-Q3
2023-10,1573,2101.2,617.2,-0.86,2314.3,2718.4,3335.6,1484.0,866.8,1,1169,403,3920,3.37,3.0843,-380.86,2023-Q4
2023-11,1337,2031.7,628.2,-1.11,1948.5,2659.9,3288.0,1403.6,775.4,2,1095,238,3543,2.86,2.6216,-276.94,2023-Q4
2023-12,1136,1957.1,650.4,-1.26,1651.5,2607.5,3257.8,1306.7,656.3,0,919,217,2974,2.43,2.2275,-199.11,2023-Q4
2024-01,1241,1884.8,677.2,-0.95,1510.7,2562.0,3239.2,1207.6,530.4,2,1011,228,3281,2.48,2.2981,-170.86,2024-Q1
2024-02,1080,1857.1,702.3,-1.11,1355.2,2559.4,3261.7,1154.8,452.4,1,895,184,2879,2.16,2.0,-131.91,2024-Q1
2024-03,1268,1800.4,719.9,-0.74,1272.5,2520.3,3240.2,1080.5,360.6,1,992,275,3261,2.54,2.3481,-62.6,2024-Q1
2024-04,1336,1773.7,730.6,-0.6,1233.0,2504.3,3234.9,1043.0,312.4,1,1031,304,3407,2.5,2.3034,6.57,2024-Q2
2024-05,1393,1595.4,506.4,-0.4,1242.3,2101.9,2608.3,1089.0,582.5,0,1078,315,3549,2.61,2.4017,50.23,2024-Q2
2024-06,1403,1469.2,312.8,-0.21,1286.8,1782.0,2094.8,1156.3,843.5,1,1112,290,3636,2.63,2.419,51.91,2024-Q2
2024-07,1683,1435.6,262.4,0.94,1360.5,1697.9,1960.3,1173.2,910.9,0,1347,336,4377,2.97,2.6714,99.34,2024-Q3
2024-08,2001,1434.6,260.2,2.18,1514.0,1694.8,1954.9,1174.4,914.2,0,1436,565,4873,3.53,3.1762,134.74,2024-Q3
2024-09,1846,1441.4,269.6,1.5,1610.3,1711.1,1980.7,1171.8,902.1,0,1429,416,4703,3.26,2.9302,132.97,2024-Q3
2024-10,1798,1460.2,285.5,1.18,1687.3,1745.7,2031.2,1174.7,889.2,0,1384,414,4566,3.0,2.5686,104.91,2024-Q4
2024-11,1345,1460.8,285.2,-0.41,1679.3,1746.0,2031.3,1175.6,890.4,0,1009,335,3362,2.24,1.9214,-2.86,2024-Q4
2024-12,1277,1472.6,274.3,-0.71,1658.3,1746.9,2021.2,1198.3,924.0,1,977,299,3240,2.13,1.8243,-115.6,2024-Q4
2025-01,1205,1469.6,277.0,-0.96,1578.7,1746.6,2023.6,1192.6,915.6,4,777,424,2795,2.13,1.6507,-175.43,2025-Q1
2025-02,1156,1475.9,268.8,-1.19,1437.8,1744.7,2013.4,1207.2,938.4,2,645,508,2463,2.04,1.5836,-151.34,2025-Q1
2025-03,1550,1499.4,261.8,0.19,1388.5,1761.2,2023.0,1237.6,975.8,2,682,866,2932,2.74,2.1233,-53.69,2025-Q1
2025-04,3335,1666.0,565.1,2.95,1644.7,2231.1,2796.2,1100.9,535.8,1,654,2680,4652,5.41,4.3882,306.29,2025-Q2
2025-05,3593,1849.3,767.4,2.27,2019.3,2616.8,3384.2,1081.9,314.5,0,660,2933,4913,5.83,4.7276,524.69,2025-Q2
