month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-08,3,3.0,0,0,3.0,3.0,3.0,3.0,3.0,0,3,0,9,,,0,2023-Q3
2023-09,2,2.5,0.5,-1.0,2.5,3.0,3.5,2.0,1.5,0,2,0,6,,,0,2023-Q3
2023-10,6,3.7,1.7,1.37,3.7,5.4,7.1,2.0,0.3,0,6,0,18,,,0,2023-Q4
2023-11,4,3.8,1.5,0.17,3.8,5.2,6.7,2.3,0.8,0,4,0,12,,,0,2023-Q4
2023-12,11,5.2,3.2,1.82,5.2,8.4,11.6,2.0,0,0,11,0,33,,,0,2023-Q4
2024-01,13,6.5,4.1,1.58,6.5,10.6,14.7,2.4,0,0,13,0,39,,,2.14,2024-Q1
2024-02,21,8.6,6.3,1.96,9.5,14.9,21.3,2.2,0,0,21,0,63,,,3.51,2024-Q1
2024-03,32,11.5,9.8,2.1,14.5,21.3,31.0,1.7,0,0,32,0,96,,,5.23,2024-Q1
2024-04,33,13.9,11.4,1.67,19.0,25.3,36.7,2.5,0,1,32,0,106,,,6.17,2024-Q2
2024-05,57,18.2,16.9,2.3,27.8,35.1,51.9,1.3,0,0,55,2,167,,,8.6,2024-Q2
2024-06,55,21.5,19.3,1.74,35.2,40.8,60.0,2.3,0,1,54,0,172,,,9.11,2024-Q2
2024-07,76,26.1,23.8,2.1,45.7,49.9,73.7,2.3,0,0,76,0,228,,,10.51,2024-Q3
2024-08,86,33.0,27.8,1.91,56.5,60.8,88.6,5.2,0,1,85,0,265,,,11.34,2024-Q3
2024-09,76,39.2,28.4,1.29,63.8,67.6,96.1,10.7,0,1,74,1,233,,,9.23,2024-Q3
2024-10,95,46.6,30.4,1.59,74.2,77.0,107.3,16.2,0,0,95,0,285,,,7.51,2024-Q4
2024-11,94,54.1,30.0,1.33,80.3,84.1,114.2,24.0,0,0,94,0,282,,,6.91,2024-Q4
2024-12,82,60.0,27.9,0.79,84.8,87.9,115.8,32.1,4.2,2,80,0,260,,,2.09,2024-Q4
2025-01,95,66.8,25.5,1.11,88.0,92.3,117.8,41.4,15.9,0,95,0,285,14.25,63.3333,1.77,2025-Q1
2025-02,73,71.2,21.4,0.09,85.8,92.6,114.0,49.8,28.4,1,71,1,224,10.95,48.6667,-0.77,2025-Q1
2025-03,75,74.8,17.9,0.01,85.7,92.6,110.5,56.9,39.0,1,73,1,230,11.25,50.0,-4.29,2025-Q1
2025-04,129,82.8,18.8,2.46,91.3,101.6,120.4,63.9,45.1,1,128,0,394,16.12,64.5,3.77,2025-Q2
2025-05,82,84.8,17.2,-0.16,89.3,102.0,119.2,67.7,50.5,0,82,0,246,10.25,41.0,2.97,2025-Q2
2025-06,86,87.4,14.6,-0.1,90.0,102.1,116.7,72.8,58.1,2,83,1,270,10.75,43.0,1.03,2025-Q2
2025-07,125,91.5,17.5,1.92,95.0,109.0,126.4,74.0,56.6,2,119,4,381,15.5,46.2963,7.03,2025-Q3
2025-08,952,163.7,238.3,3.31,241.5,402.0,640.3,0,0,2,569,381,2108,118.02,352.5926,125.06,2025-Q3
2025-09,2220,342.3,613.7,3.06,599.0,956.0,1569.7,0,0,1,1036,1183,4301,275.21,822.2222,374.4,2025-Q3
2025-10,2284,524.8,807.7,2.18,958.2,1332.5,2140.2,0,0,1,897,1386,4087,213.46,652.5714,521.11,2025-Q4
2025-11,3729,827.7,1183.6,2.45,1566.0,2011.2,3194.8,0,0,0,423,3306,4575,348.5,1065.4286,741.71,2025-Q4
2025-12,8269,1509.9,2345.9,2.88,2929.8,3855.9,6201.8,0,0,0,1489,6780,11247,772.8,2362.5714,1403.29,2025-Q4
2026-01,7545,2130.8,2826.0,1.92,4166.5,4956.8,7782.8,0,0,2,1368,6175,10299,707.34,1796.4286,1501.63,2026-Q1
2026-02,8100,2799.7,3186.8,1.66,5357.8,5986.4,9173.2,0,0,3,1094,7003,10315,759.38,1928.5714,1420.66,2026-Q1
