month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-01,2,2.0,0,0,2.0,2.0,2.0,2.0,2.0,0,2,0,6,,,0,2023-Q1
2023-02,2,2.0,0.0,0,2.0,2.0,2.0,2.0,2.0,0,2,0,6,,,0,2023-Q1
2023-03,3,2.3,0.5,1.41,2.3,2.8,3.3,1.9,1.4,0,3,0,9,,,0,2023-Q1
2023-04,7,3.5,2.1,1.7,3.5,5.6,7.6,1.4,0,0,7,0,21,,,0,2023-Q2
2023-05,7,4.2,2.3,1.21,4.2,6.5,8.8,1.9,0,1,6,0,28,,,0,2023-Q2
2023-06,6,4.5,2.2,0.68,4.5,6.7,8.9,2.3,0.1,0,6,0,18,,,1.11,2023-Q2
2023-07,7,4.9,2.2,0.96,5.3,7.1,9.3,2.6,0.4,1,6,0,28,,,0.97,2023-Q3
2023-08,8,5.2,2.3,1.18,6.3,7.6,9.9,2.9,0.6,1,7,0,31,,,0.69,2023-Q3
2023-09,7,5.4,2.3,0.69,7.0,7.7,10.0,3.2,0.9,0,7,0,21,,,0.11,2023-Q3
2023-10,4,5.3,2.2,-0.59,6.5,7.5,9.7,3.1,0.9,0,4,0,12,,,-0.31,2023-Q4
2023-11,4,5.2,2.1,-0.56,6.0,7.3,9.4,3.1,0.9,0,4,0,12,,,-0.57,2023-Q4
2023-12,2,4.9,2.2,-1.32,5.3,7.1,9.3,2.7,0.5,0,2,0,6,,,-1.14,2023-Q4
2024-01,4,5.1,2.1,-0.53,4.8,7.1,9.2,3.0,1.0,1,3,0,19,,,-1.0,2024-Q1
2024-02,7,5.5,1.9,0.79,4.7,7.4,9.3,3.6,1.7,0,7,0,21,,,-0.06,2024-Q1
2024-03,8,5.9,1.8,1.13,4.8,7.8,9.6,4.1,2.2,2,6,0,38,,,0.89,2024-Q1
2024-04,5,5.8,1.8,-0.41,5.0,7.6,9.4,3.9,2.1,1,4,0,22,,,0.74,2024-Q2
2024-05,10,6.0,2.2,1.85,6.0,8.2,10.3,3.8,1.7,3,7,0,51,,,1.26,2024-Q2
2024-06,8,6.2,2.2,0.82,7.0,8.4,10.6,3.9,1.7,1,7,0,31,,,0.74,2024-Q2
2024-07,13,6.7,2.9,2.17,8.5,9.6,12.5,3.7,0.8,0,12,1,37,,,1.0,2024-Q3
2024-08,4,6.3,3.0,-0.78,8.0,9.3,12.3,3.4,0.4,2,2,0,26,,,0.06,2024-Q3
2024-09,7,6.3,3.0,0.22,7.8,9.3,12.3,3.4,0.4,0,7,0,21,,,-0.09,2024-Q3
2024-10,7,6.6,2.9,0.14,8.2,9.5,12.4,3.7,0.8,1,6,0,28,,,-0.77,2024-Q4
2024-11,11,7.2,3.0,1.27,8.3,10.2,13.2,4.1,1.1,0,11,0,33,,,0.0,2024-Q4
2024-12,8,7.7,2.6,0.13,8.3,10.3,12.9,5.1,2.5,0,8,0,24,,,-0.11,2024-Q4
2025-01,10,8.2,2.4,0.76,7.8,10.6,13.0,5.8,3.3,1,9,0,37,,,1.06,2025-Q1
2025-02,8,8.2,2.4,-0.1,8.5,10.6,13.0,5.9,3.5,0,8,0,24,,,0.31,2025-Q1
2025-03,6,8.1,2.5,-0.85,8.3,10.5,13.0,5.6,3.2,1,4,1,23,,,-0.34,2025-Q1
2025-04,14,8.8,2.8,1.87,9.5,11.6,14.4,6.1,3.3,0,14,0,42,,,0.2,2025-Q2
2025-05,10,8.8,2.8,0.42,9.3,11.6,14.4,6.1,3.3,1,9,0,37,,,0.57,2025-Q2
2025-06,9,8.9,2.8,0.03,9.5,11.7,14.4,6.2,3.4,0,9,0,27,,,0.26,2025-Q2
2025-07,18,9.3,3.6,2.41,10.8,12.9,16.5,5.7,2.2,1,17,0,61,,,1.57,2025-Q3
2025-08,9,9.8,3.2,-0.23,11.0,13.0,16.2,6.5,3.3,1,8,0,34,,,0.74,2025-Q3
2025-09,11,10.1,3.1,0.29,11.8,13.2,16.3,7.0,3.8,2,9,0,47,,,-0.26,2025-Q3
2025-10,21,11.2,4.2,2.33,13.0,15.4,19.6,7.1,2.9,5,16,0,98,,,1.49,2025-Q4
2025-11,8,11.0,4.3,-0.7,12.7,15.3,19.6,6.7,2.4,1,7,0,31,,,0.17,2025-Q4
2025-12,12,11.3,4.2,0.16,13.2,15.5,19.7,7.1,3.0,1,11,0,43,,,-0.66,2025-Q4
2026-01,10,11.3,4.2,-0.32,11.8,15.5,19.7,7.1,3.0,2,8,0,44,,,-0.14,2026-Q1
2026-02,10,11.5,4.1,-0.37,12.0,15.6,19.7,7.4,3.3,0,10,0,30,,,-0.97,2026-Q1
