month,reports,ma_6mo,avg_1yr,sd_1yr,z_score,rate_per_m,qtr_revenue,mo_revenue
2023-03,11783,11783,33424,15248,-1.42,49.0,721,240.3
2023-04,16571,14177,33424,15248,-1.11,57.1,871,290.3
2023-05,20930,16428,33424,15248,-0.82,72.1,871,290.3
2023-06,22872,18039,33424,15248,-0.69,78.8,871,290.3
2023-07,18975,18226,33424,15248,-0.95,58.4,975,325.0
2023-08,26086,19536,33424,15248,-0.48,80.3,975,325.0
2023-09,23271,21451,33424,15248,-0.67,71.6,975,325.0
2023-10,25908,23007,33424,15248,-0.49,76.9,1010,336.7
2023-11,25000,23685,33424,15248,-0.55,74.3,1010,336.7
2023-12,23555,23799,33424,15248,-0.65,70.0,1010,336.7
2024-01,27794,25269,33424,15248,-0.37,93.7,890,296.7
2024-02,23549,24846,33424,15248,-0.65,79.4,890,296.7
2024-03,22884,24782,33424,15248,-0.69,77.1,890,296.7
2024-04,26650,24905,33424,15248,-0.44,79.6,1004,334.7
2024-05,28449,25480,33424,15248,-0.33,85.0,1004,334.7
2024-06,25266,25765,33424,15248,-0.54,75.5,1004,334.7
2024-07,33978,26796,33424,15248,0.04,102.6,994,331.3
2024-08,32454,28280,33424,15248,-0.06,98.0,994,331.3
2024-09,30482,29546,33424,15248,-0.19,92.0,994,331.3
2024-10,32165,30466,33424,15248,-0.08,86.7,1113,371.0
2024-11,29447,30632,33424,15248,-0.26,79.4,1113,371.0
2024-12,27268,30966,33424,15248,-0.4,73.5,1113,371.0
2025-01,28091,29984,33424,15248,-0.35,80.3,1050,350.0
2025-02,21344,28133,33424,15248,-0.79,61.0,1050,350.0
2025-03,26049,27394,33424,15248,-0.48,74.4,1050,350.0
2025-04,27769,26661,33424,15248,-0.37,75.7,1100,366.7
2025-05,31778,27050,33424,15248,-0.11,86.7,1100,366.7
2025-06,32443,27912,33424,15248,-0.06,88.5,1100,366.7
2025-07,38368,29625,33424,15248,0.32,100.1,1150,383.3
2025-08,35794,32034,33424,15248,0.16,93.4,1150,383.3
2025-09,33409,33260,33424,15248,-0.0,87.2,1150,383.3
2025-10,32689,34080,33424,15248,-0.05,81.7,1200,400.0
2025-11,21978,32447,33424,15248,-0.75,54.9,1200,400.0
2025-12,22656,30816,33424,15248,-0.71,56.6,1200,400.0
2026-01,78229,37459,33424,15248,2.94,,,
2026-02,19921,34814,33424,15248,-0.89,,,
