month,reports,ma_6mo,avg_1yr,sd_1yr,z_score,rate_per_m,qtr_revenue,mo_revenue
2023-03,8057,8057,7531,1822,0.29,46.4,521,173.7
2023-04,14934,11496,7531,1822,4.06,86.0,521,173.7
2023-05,17134,13375,7531,1822,5.27,98.6,521,173.7
2023-06,19080,14801,7531,1822,6.34,109.8,521,173.7
2023-07,15219,14885,7531,1822,4.22,96.1,475,158.3
2023-08,20454,15813,7531,1822,7.09,129.2,475,158.3
2023-09,18240,17510,7531,1822,5.88,115.2,475,158.3
2023-10,19758,18314,7531,1822,6.71,144.5,410,136.7
2023-11,18131,18480,7531,1822,5.82,132.6,410,136.7
2023-12,16610,18069,7531,1822,4.98,121.5,410,136.7
2024-01,18644,18640,7531,1822,6.1,164.6,340,113.3
2024-02,14552,17656,7531,1822,3.85,128.4,340,113.3
2024-03,13683,16896,7531,1822,3.38,120.8,340,113.3
2024-04,15297,16153,7531,1822,4.26,129.6,354,118.0
2024-05,15022,15635,7531,1822,4.11,127.3,354,118.0
2024-06,13681,15146,7531,1822,3.38,115.9,354,118.0
2024-07,20539,15462,7531,1822,7.14,179.1,344,114.7
2024-08,17700,15987,7531,1822,5.58,154.3,344,114.7
2024-09,15726,16328,7531,1822,4.5,137.1,344,114.7
2024-10,15098,16294,7531,1822,4.15,124.8,363,121.0
2024-11,11942,15781,7531,1822,2.42,98.7,363,121.0
2024-12,11561,15428,7531,1822,2.21,95.5,363,121.0
2025-01,11869,13983,7531,1822,2.38,118.7,300,100.0
2025-02,7645,12307,7531,1822,0.06,76.5,300,100.0
2025-03,7769,10981,7531,1822,0.13,77.7,300,100.0
2025-04,7420,9701,7531,1822,-0.06,74.2,300,100.0
2025-05,7616,8980,7531,1822,0.05,76.2,300,100.0
2025-06,7964,8380,7531,1822,0.24,79.6,300,100.0
2025-07,9974,8065,7531,1822,1.34,99.7,300,100.0
2025-08,8770,8252,7531,1822,0.68,87.7,300,100.0
2025-09,9497,8540,7531,1822,1.08,95.0,300,100.0
2025-10,9683,8917,7531,1822,1.18,96.8,300,100.0
2025-11,6408,8716,7531,1822,-0.62,64.1,300,100.0
2025-12,5079,8235,7531,1822,-1.35,50.8,300,100.0
2026-01,5857,7549,7531,1822,-0.92,,,
2026-02,4339,6810,7531,1822,-1.75,,,
