month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-01,25659,25659.0,0,0,25659.0,25659.0,25659.0,25659.0,25659.0,1,271,25387,26210,83.58,128.295,0,2023-Q1
2023-02,19427,22543.0,3116.0,-1.0,22543.0,25659.0,28775.0,19427.0,16311.0,0,196,19231,19819,63.28,97.135,0,2023-Q1
2023-03,24580,23222.0,2719.4,0.5,23222.0,25941.4,28660.8,20502.6,17783.2,3,269,24308,25145,80.07,122.9,0,2023-Q1
2023-04,16571,21559.2,3720.3,-1.34,21559.2,25279.5,28999.8,17839.0,14118.7,1,260,16310,17100,57.06,78.9095,0,2023-Q2
2023-05,20930,21433.4,3337.0,-0.15,21433.4,24770.4,28107.5,18096.4,14759.3,1,293,20636,21525,72.06,99.6667,0,2023-Q2
2023-06,22872,21673.2,3093.1,0.39,21673.2,24766.3,27859.4,18580.1,15487.0,0,305,22567,23482,78.75,108.9143,-498.14,2023-Q2
2023-07,18975,21287.7,3015.3,-0.77,20559.2,24303.0,27318.3,18272.4,15257.1,0,267,18708,19509,58.38,86.25,-86.43,2023-Q3
2023-08,26086,21887.5,3236.3,1.3,21669.0,25123.8,28360.1,18651.2,15414.9,1,355,25730,26805,80.26,118.5727,476.69,2023-Q3
2023-09,23271,22041.2,3082.0,0.4,21450.8,25123.3,28205.3,18959.2,15877.2,0,248,23023,23767,71.6,105.7773,1287.74,2023-Q3
2023-10,25908,22427.9,3145.6,1.11,23007.0,25573.5,28719.1,19282.3,16136.7,0,284,25624,26476,76.95,110.2468,948.51,2023-Q4
2023-11,25000,22661.7,3089.0,0.76,23685.3,25750.7,28839.7,19572.7,16483.7,1,338,24661,25685,74.26,106.383,817.83,2023-Q4
2023-12,23555,22736.2,2967.8,0.28,23799.2,25704.0,28671.7,19768.4,16800.6,0,296,23258,24146,69.97,100.234,636.54,2023-Q4
2024-01,27794,22914.1,3193.1,1.53,25269.0,26107.2,29300.3,19721.0,16527.9,1,432,27361,28667,90.53,111.176,242.4,2024-Q1
2024-02,23549,23257.6,3016.3,0.1,24846.2,26273.9,29290.3,20241.2,17224.9,1,345,23203,24248,76.71,94.196,160.09,2024-Q1
2024-03,22884,23116.2,2990.7,-0.08,24781.7,26106.9,29097.6,20125.6,17134.9,2,336,22546,23574,74.54,91.536,-435.26,2024-Q1
2024-04,26650,23956.2,2389.4,1.13,24905.3,26345.6,28735.0,21566.7,19177.3,1,357,26292,27373,79.63,102.5,56.91,2024-Q2
2024-05,28449,24582.8,2497.1,1.55,25480.2,27079.9,29577.0,22085.6,19588.5,2,399,28048,29265,85.01,109.4192,582.09,2024-Q2
