month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-01,25274,25274.0,0,0,25274.0,25274.0,25274.0,25274.0,25274.0,1,268,25005,25819,82.33,126.37,0,2023-Q1
2023-02,18935,22104.5,3169.5,-1.0,22104.5,25274.0,28443.5,18935.0,15765.5,0,188,18747,19311,61.68,94.675,0,2023-Q1
2023-03,23448,22552.3,2664.3,0.34,22552.3,25216.6,27880.8,19888.1,17223.8,3,257,23188,23989,76.38,117.24,0,2023-Q1
2023-04,14934,20647.8,4025.7,-1.42,20647.8,24673.4,28699.1,16622.1,12596.4,1,242,14691,15427,51.42,71.1143,0,2023-Q2
2023-05,17134,19945.0,3865.3,-0.73,19945.0,23810.3,27675.5,16079.7,12214.5,1,271,16862,17685,58.99,81.5905,0,2023-Q2
2023-06,19080,19800.8,3543.2,-0.2,19800.8,23344.0,26887.2,16257.7,12714.5,0,262,18818,19604,65.69,90.8571,-1282.49,2023-Q2
2023-07,15219,19146.3,3651.2,-1.08,18125.0,22797.5,26448.7,15495.1,11843.9,0,228,14991,15675,46.83,69.1773,-842.4,2023-Q3
2023-08,20454,19309.8,3442.7,0.33,18378.2,22752.4,26195.1,15867.1,12424.4,1,302,20151,21067,62.94,92.9727,-347.69,2023-Q3
2023-09,18240,19190.9,3263.1,-0.29,17510.2,22454.0,25717.2,15927.8,12664.6,0,215,18025,18670,56.12,82.9091,646.54,2023-Q3
2023-10,19758,19247.6,3100.4,0.16,18314.2,22348.0,25448.3,16147.2,13046.9,0,215,19543,20188,58.69,84.0766,452.43,2023-Q4
2023-11,18131,19146.1,2973.4,-0.34,18480.3,22119.5,25093.0,16172.6,13199.2,1,261,17869,18662,53.85,77.1532,190.23,2023-Q4
2023-12,16610,18934.8,2931.9,-0.79,18068.7,21866.6,24798.5,16002.9,13071.0,0,215,16395,17040,49.34,70.6809,42.97,2023-Q4
