month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-01,23,23.0,0,0,23.0,23.0,23.0,23.0,23.0,0,0,23,23,0.07,0.115,0,2023-Q1
2023-02,14,18.5,4.5,-1.0,18.5,23.0,27.5,14.0,9.5,0,0,14,14,0.05,0.07,0,2023-Q1
2023-03,4,13.7,7.8,-1.25,13.7,21.4,29.2,5.9,0,0,0,4,4,0.01,0.02,0,2023-Q1
2023-04,6,11.8,7.5,-0.77,11.8,19.2,26.7,4.3,0,0,0,6,6,0.02,0.0286,0,2023-Q2
2023-05,3,10.0,7.6,-0.93,10.0,17.6,25.1,2.4,0,0,0,3,3,0.01,0.0143,0,2023-Q2
2023-06,7,9.5,7.0,-0.36,9.5,16.5,23.5,2.5,0,0,0,7,7,0.02,0.0333,-3.17,2023-Q2
2023-07,9,9.4,6.5,-0.07,7.2,15.9,22.4,3.0,0,0,0,9,9,0.03,0.0409,-0.54,2023-Q3
2023-08,8,9.2,6.1,-0.21,6.2,15.3,21.4,3.2,0,0,0,8,8,0.02,0.0364,0.94,2023-Q3
2023-09,5,8.8,5.9,-0.64,6.3,14.7,20.5,2.9,0,0,0,5,5,0.02,0.0227,0.34,2023-Q3
2023-10,3,8.2,5.8,-0.89,5.8,14.0,19.9,2.4,0,0,0,3,3,0.01,0.0128,-0.2,2023-Q4
2023-11,5,7.9,5.6,-0.52,6.2,13.6,19.2,2.3,0,0,0,5,5,0.01,0.0213,-0.89,2023-Q4
2023-12,3,7.5,5.6,-0.81,5.5,13.1,18.7,1.9,0,0,0,3,3,0.01,0.0128,-1.17,2023-Q4
2024-01,4,5.9,3.1,-0.62,4.7,9.0,12.1,2.8,0,0,0,4,4,0.01,0.016,-0.69,2024-Q1
2024-02,5,5.2,1.9,-0.09,4.2,7.1,9.0,3.3,1.4,0,0,5,5,0.02,0.02,0.03,2024-Q1
2024-03,8,5.5,2.0,1.24,4.7,7.5,9.5,3.5,1.5,0,0,8,8,0.03,0.032,0.74,2024-Q1
2024-04,10,5.8,2.4,1.75,5.8,8.2,10.6,3.5,1.1,0,0,10,10,0.03,0.0385,1.17,2024-Q2
2024-05,18,7.1,4.0,2.75,8.0,11.1,15.0,3.1,0,0,0,18,18,0.05,0.0692,2.74,2024-Q2
2024-06,15,7.8,4.5,1.6,10.0,12.3,16.8,3.2,0,0,0,15,15,0.04,0.0577,2.74,2024-Q2
2024-07,22,8.8,6.0,2.19,13.0,14.8,20.9,2.8,0,0,0,22,22,0.07,0.08,3.26,2024-Q3
2024-08,20,9.8,6.7,1.51,15.5,16.6,23.3,3.1,0,0,0,20,20,0.06,0.0727,2.66,2024-Q3
2024-09,20,11.1,7.1,1.25,17.5,18.2,25.3,4.0,0,0,0,20,20,0.06,0.0727,1.8,2024-Q3
2024-10,29,13.2,8.2,1.92,20.7,21.4,29.6,5.1,0,0,0,29,29,0.08,0.1,1.94,2024-Q4
2024-11,21,14.6,8.0,0.8,21.2,22.6,30.7,6.5,0,0,0,21,21,0.06,0.0724,1.46,2024-Q4
2024-12,13,15.4,7.3,-0.33,20.8,22.7,30.0,8.1,0.8,0,0,13,13,0.03,0.0448,-0.94,2024-Q4
2025-01,26,17.2,6.9,1.26,21.5,24.2,31.1,10.3,3.4,0,0,26,26,0.08,0.0867,0.03,2025-Q1
2025-02,20,18.5,5.9,0.25,21.5,24.4,30.3,12.6,6.7,0,0,20,20,0.06,0.0667,-0.49,2025-Q1
2025-03,28,20.2,5.5,1.42,22.8,25.7,31.2,14.7,9.2,0,0,28,28,0.08,0.0933,0.14,2025-Q1
2025-04,27,21.6,4.9,1.12,22.5,26.4,31.3,16.7,11.9,0,0,27,27,0.07,0.0871,1.97,2025-Q2
2025-05,15,21.3,5.1,-1.24,21.5,26.4,31.5,16.2,11.1,0,0,15,15,0.04,0.0484,0.6,2025-Q2
2025-06,15,21.3,5.1,-1.24,21.8,26.4,31.5,16.2,11.1,0,0,15,15,0.04,0.0484,-2.03,2025-Q2
2025-07,24,21.5,5.2,0.48,21.5,26.7,31.8,16.3,11.2,0,0,24,24,0.06,0.0738,-0.89,2025-Q3
2025-08,22,21.7,5.1,0.06,21.8,26.8,31.9,16.5,11.4,0,0,22,22,0.06,0.0677,-1.11,2025-Q3
2025-09,22,21.8,5.1,0.03,20.8,26.9,32.1,16.7,11.6,0,0,22,22,0.06,0.0677,0.14,2025-Q3
2025-10,24,21.4,4.7,0.55,20.3,26.1,30.8,16.7,12.0,0,0,24,24,0.06,0.0706,1.83,2025-Q4
2025-11,27,21.9,4.9,1.03,22.3,26.9,31.8,17.0,12.0,0,1,26,29,0.06,0.0794,1.71,2025-Q4
2025-12,12,21.8,5.1,-1.93,21.8,26.9,32.0,16.7,11.6,0,0,12,12,0.03,0.0353,-1.23,2025-Q4
2026-01,21,21.4,4.9,-0.08,21.3,26.4,31.3,16.5,11.5,0,0,21,21,0.05,0.0592,-0.91,2026-Q1
2026-02,10,20.6,5.9,-1.8,19.3,26.4,32.3,14.7,8.9,0,0,10,10,0.02,0.0282,-2.4,2026-Q1
