month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2024-09,17,17.0,0,0,17.0,17.0,17.0,17.0,17.0,0,1,16,19,0.05,0.0618,0,2024-Q3
2024-10,78,47.5,30.5,1.0,47.5,78.0,108.5,17.0,0,0,5,73,88,0.21,0.269,0,2024-Q4
2024-11,72,55.7,27.5,0.6,55.7,83.1,110.6,28.2,0.8,0,3,69,78,0.19,0.2483,0,2024-Q4
2024-12,76,60.8,25.4,0.6,60.8,86.1,111.5,35.4,10.0,0,5,71,86,0.2,0.2621,0,2024-Q4
2025-01,121,72.8,33.1,1.46,72.8,105.9,139.0,39.7,6.6,0,3,118,127,0.35,0.4033,0,2025-Q1
2025-02,134,83.0,37.9,1.35,83.0,120.9,158.7,45.1,7.3,0,7,127,148,0.39,0.4467,20.51,2025-Q1
2025-03,144,91.7,41.0,1.27,104.2,132.7,173.8,50.7,9.7,0,13,131,170,0.42,0.48,16.03,2025-Q1
2025-04,145,98.4,42.2,1.1,115.3,140.6,182.8,56.1,13.9,0,10,135,165,0.4,0.4677,16.63,2025-Q2
2025-05,168,106.1,45.4,1.36,131.3,151.5,197.0,60.7,15.2,0,8,160,184,0.46,0.5419,15.49,2025-Q2
2025-06,131,108.6,43.7,0.51,140.5,152.3,196.1,64.9,21.1,0,11,120,153,0.36,0.4226,4.37,2025-Q2
2025-07,103,108.1,41.7,-0.12,137.5,149.8,191.6,66.4,24.6,0,6,97,115,0.26,0.3169,-4.89,2025-Q3
2025-08,103,107.7,40.0,-0.12,132.3,147.7,187.6,67.7,27.7,0,8,95,119,0.26,0.3169,-10.51,2025-Q3
2025-09,115,115.8,29.2,-0.03,127.5,145.0,174.2,86.6,57.5,0,8,107,131,0.29,0.3538,-10.66,2025-Q3
2025-10,124,119.7,26.9,0.16,124.0,146.6,173.5,92.8,65.9,0,6,118,136,0.3,0.3647,-7.66,2025-Q4
2025-11,86,120.8,25.0,-1.39,110.3,145.9,170.9,95.8,70.7,0,2,84,90,0.2,0.2529,-4.29,2025-Q4
2025-12,99,122.8,22.3,-1.07,105.0,145.0,167.3,100.5,78.2,0,13,86,125,0.24,0.2912,-1.77,2025-Q4
2026-01,92,120.3,23.8,-1.19,103.2,144.2,168.0,96.5,72.7,0,6,86,104,0.22,0.2592,-4.03,2026-Q1
2026-02,119,119.1,23.5,-0.0,105.8,142.6,166.0,95.6,72.1,0,8,111,135,0.28,0.3352,-1.8,2026-Q1
