month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-01,2,2.0,0,0,2.0,2.0,2.0,2.0,2.0,0,2,0,6,,,0,2023-Q1
2023-02,3,2.5,0.5,1.0,2.5,3.0,3.5,2.0,1.5,0,3,0,9,,,0,2023-Q1
2023-03,1,2.0,0.8,-1.22,2.0,2.8,3.6,1.2,0.4,0,0,1,1,,,0,2023-Q1
2023-04,2,2.0,0.7,0.0,2.0,2.7,3.4,1.3,0.6,0,2,0,6,,,0,2023-Q2
2023-06,4,2.4,1.0,1.57,2.4,3.4,4.4,1.4,0.4,0,3,1,10,,,0,2023-Q2
2023-07,1,2.2,1.1,-1.09,2.2,3.2,4.3,1.1,0.0,0,1,0,3,,,-0.03,2023-Q3
2023-08,2,2.1,1.0,-0.14,2.2,3.1,4.1,1.2,0.2,0,2,0,6,,,-0.09,2023-Q3
2023-09,4,2.4,1.1,1.46,2.3,3.5,4.6,1.3,0.2,0,3,1,10,,,0.34,2023-Q3
2023-11,2,2.3,1.1,-0.32,2.5,3.4,4.4,1.3,0.2,0,2,0,6,,,0.03,2023-Q4
2024-01,2,2.3,1.0,-0.3,2.5,3.3,4.3,1.3,0.3,0,0,2,2,,,-0.14,2024-Q1
2024-02,1,2.2,1.0,-1.15,2.0,3.2,4.2,1.2,0.1,0,1,0,3,,,-0.06,2024-Q1
2024-03,5,2.4,1.3,2.06,2.7,3.7,4.9,1.2,0,0,5,0,15,,,0.17,2024-Q1
2024-04,3,2.5,1.3,0.4,2.8,3.8,5.0,1.2,0,0,0,3,3,,,0.09,2024-Q2
2024-05,1,2.3,1.3,-1.02,2.3,3.6,5.0,1.0,0,0,1,0,3,,,0.06,2024-Q2
2024-06,1,2.3,1.3,-1.02,2.2,3.6,5.0,1.0,0,0,0,1,1,,,-0.2,2024-Q2
2024-07,4,2.5,1.4,1.08,2.5,3.9,5.3,1.1,0,0,2,1,7,,,0.03,2024-Q3
2024-08,1,2.2,1.4,-0.92,2.5,3.6,5.0,0.9,0,0,1,0,3,,,-0.49,2024-Q3
2024-09,1,2.2,1.4,-0.92,1.8,3.6,5.0,0.9,0,0,1,0,3,,,-0.2,2024-Q3
2024-10,6,2.6,1.7,2.0,2.3,4.3,6.0,0.9,0,0,3,3,12,,,0.63,2024-Q4
2024-11,2,2.4,1.7,-0.25,2.5,4.1,5.7,0.8,0,0,0,2,2,,,0.31,2024-Q4
2024-12,5,2.7,1.8,1.3,3.2,4.5,6.3,0.9,0,0,4,1,13,,,0.37,2024-Q4
2025-01,8,3.2,2.3,2.1,3.8,5.5,7.8,0.9,0,0,6,2,20,,,1.23,2025-Q1
2025-02,3,3.3,2.2,-0.15,4.2,5.5,7.8,1.1,0,0,2,1,7,,,0.54,2025-Q1
2025-03,1,3.0,2.2,-0.89,4.2,5.2,7.5,0.8,0,0,1,0,3,,,-0.54,2025-Q1
2025-04,1,2.8,2.3,-0.8,3.3,5.1,7.4,0.5,0,0,1,0,3,,,-0.63,2025-Q2
2025-05,3,3.0,2.2,0.0,3.5,5.2,7.5,0.8,0,0,2,1,7,,,-0.94,2025-Q2
2025-06,3,3.2,2.2,-0.08,3.2,5.3,7.5,1.0,0,0,2,1,7,,,-0.71,2025-Q2
2025-07,7,3.4,2.4,1.5,3.0,5.8,8.2,1.0,0,0,6,1,19,,,0.8,2025-Q3
2025-08,8,4.0,2.6,1.55,3.8,6.6,9.2,1.4,0,0,7,1,22,,,1.51,2025-Q3
2025-09,3,4.2,2.4,-0.48,4.2,6.6,9.1,1.7,0,0,3,0,9,,,0.83,2025-Q3
2025-10,5,4.1,2.4,0.38,4.8,6.5,8.9,1.7,0,0,5,0,15,,,0.31,2025-Q4
2025-11,4,4.2,2.3,-0.11,5.0,6.6,8.9,1.9,0,0,3,1,10,,,-0.17,2025-Q4
2025-12,2,4.0,2.4,-0.84,4.8,6.4,8.8,1.6,0,0,1,1,4,,,-1.0,2025-Q4
2026-01,4,3.7,2.1,0.16,4.3,5.7,7.8,1.6,0,0,3,1,10,,,-0.69,2026-Q1
2026-02,3,3.7,2.1,-0.32,3.5,5.7,7.8,1.6,0,0,2,1,7,,,-0.14,2026-Q1
