month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2024-01,1,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1,1,0.0,0.0159,0,2024-Q1
2024-02,4,2.5,1.5,1.0,2.5,4.0,5.5,1.0,0,0,0,4,4,0.02,0.0635,0,2024-Q1
2024-03,9,4.7,3.3,1.31,4.7,8.0,11.3,1.4,0,0,0,9,9,0.04,0.1429,0,2024-Q1
2024-04,17,7.8,6.1,1.53,7.8,13.8,19.9,1.7,0,0,0,17,17,0.08,0.2576,0,2024-Q2
2024-05,16,9.4,6.3,1.04,9.4,15.7,22.1,3.1,0,0,0,16,16,0.07,0.2424,0,2024-Q2
2024-06,10,9.5,5.8,0.09,9.5,15.3,21.1,3.7,0,0,0,10,10,0.05,0.1515,2.54,2024-Q2
2024-07,32,12.7,9.5,2.02,14.7,22.2,31.8,3.2,0,0,0,32,32,0.14,0.4638,4.06,2024-Q3
2024-08,11,12.5,8.9,-0.17,15.8,21.4,30.4,3.6,0,0,0,11,11,0.05,0.1594,1.4,2024-Q3
2024-09,18,13.1,8.6,0.57,17.3,21.7,30.3,4.5,0,0,0,18,18,0.08,0.2609,0.34,2024-Q3
2024-10,50,16.8,13.7,2.42,22.8,30.5,44.3,3.1,0,0,0,50,50,0.22,0.6944,4.94,2024-Q4
2024-11,52,20.0,16.6,1.93,28.8,36.6,53.1,3.4,0,0,0,52,52,0.22,0.7222,7.74,2024-Q4
2024-12,80,25.0,22.9,2.4,40.5,47.9,70.9,2.1,0,0,0,80,80,0.35,1.1111,11.29,2024-Q4
2025-01,99,33.2,29.5,2.23,51.7,62.6,92.1,3.7,0,0,0,99,99,0.41,1.32,17.94,2025-Q1
2025-02,75,39.1,30.1,1.19,62.3,69.2,99.3,9.0,0,0,0,75,75,0.31,1.0,13.14,2025-Q1
2025-03,112,47.7,34.7,1.86,78.0,82.3,117.0,13.0,0,0,0,112,112,0.46,1.4933,11.37,2025-Q1
2025-04,141,58.0,41.7,1.99,93.2,99.7,141.5,16.3,0,0,0,141,141,0.56,1.8077,14.77,2025-Q2
2025-05,151,69.2,46.8,1.75,109.7,116.0,162.8,22.5,0,0,0,151,151,0.6,1.9359,14.8,2025-Q2
2025-06,140,80.1,46.9,1.28,119.7,127.0,173.8,33.2,0,0,0,140,140,0.56,1.7949,13.2,2025-Q2
2025-07,161,90.8,49.3,1.42,130.0,140.2,189.5,41.5,0,0,1,160,163,0.63,1.9877,14.97,2025-Q3
2025-08,162,103.4,46.6,1.26,144.5,150.0,196.5,56.9,10.3,0,0,162,162,0.63,2.0,8.54,2025-Q3
2025-09,194,118.1,45.0,1.69,158.2,163.1,208.1,73.1,28.0,0,0,194,194,0.76,2.3951,9.11,2025-Q3
2025-10,175,128.5,42.5,1.1,163.8,171.0,213.4,86.0,43.6,0,0,175,175,0.67,2.0833,8.09,2025-Q4
2025-11,142,136.0,35.7,0.17,162.3,171.7,207.4,100.3,64.6,0,0,142,142,0.55,1.6905,2.4,2025-Q4
2025-12,194,145.5,34.7,1.4,171.3,180.2,214.9,110.8,76.1,0,0,194,194,0.75,2.3095,2.46,2025-Q4
2026-01,224,155.9,37.8,1.8,181.8,193.7,231.5,118.1,80.3,0,5,219,234,0.84,2.5747,7.91,2026-Q1
2026-02,323,176.6,52.7,2.78,208.7,229.3,282.1,123.8,71.1,0,11,312,345,1.21,3.7126,24.11,2026-Q1
