month,reports,ma_6mo,avg_1yr,sd_1yr,z_score,rate_per_m,qtr_revenue,mo_revenue
2023-10,3,3,3829,749,-5.11,,,
2023-11,73,38,3829,749,-5.01,,,
2023-12,144,73,3829,749,-4.92,,,
2024-01,65,71,3829,749,-5.03,6.3,31,10.3
2024-02,10,59,3829,749,-5.1,1.0,31,10.3
2024-03,52,58,3829,749,-5.04,5.0,31,10.3
2024-04,63,68,3829,749,-5.03,5.4,35,11.7
2024-05,206,90,3829,749,-4.84,17.6,35,11.7
2024-06,243,106,3829,749,-4.79,20.8,35,11.7
2024-07,673,208,3829,749,-4.21,57.5,35,11.7
2024-08,1073,385,3829,749,-3.68,91.7,35,11.7
2024-09,922,530,3829,749,-3.88,78.8,35,11.7
2024-10,1326,740,3829,749,-3.34,113.3,35,11.7
2024-11,1391,938,3829,749,-3.26,118.9,35,11.7
2024-12,1932,1220,3829,749,-2.53,165.1,35,11.7
2025-01,2993,1606,3829,749,-1.12,299.3,30,10.0
2025-02,2403,1828,3829,749,-1.9,240.3,30,10.0
2025-03,2752,2133,3829,749,-1.44,275.2,30,10.0
2025-04,3381,2475,3829,749,-0.6,289.0,35,11.7
2025-05,3890,2892,3829,749,0.08,332.5,35,11.7
2025-06,3629,3175,3829,749,-0.27,310.2,35,11.7
2025-07,5530,3598,3829,749,2.27,472.6,35,11.7
2025-08,4351,3922,3829,749,0.7,371.9,35,11.7
2025-09,4481,4210,3829,749,0.87,383.0,35,11.7
2025-10,4196,4346,3829,749,0.49,358.6,35,11.7
2025-11,3131,4220,3829,749,-0.93,267.6,35,11.7
2025-12,3832,4254,3829,749,0.0,327.5,35,11.7
2026-01,3680,3945,3829,749,-0.2,,,
2026-02,3095,3736,3829,749,-0.98,,,
