month,reports,ma_6mo,avg_1yr,sd_1yr,z_score,rate_per_m,qtr_revenue,mo_revenue
2023-03,629,629,5004,867,-5.05,5.9,320,106.7
2023-04,1290,960,5004,867,-4.28,11.4,340,113.3
2023-05,1435,1118,5004,867,-4.12,12.7,340,113.3
2023-06,1392,1186,5004,867,-4.17,12.3,340,113.3
2023-07,1294,1208,5004,867,-4.28,10.8,360,120.0
2023-08,2095,1356,5004,867,-3.36,17.5,360,120.0
2023-09,2507,1669,5004,867,-2.88,20.9,360,120.0
2023-10,2230,1826,5004,867,-3.2,19.4,345,115.0
2023-11,2047,1928,5004,867,-3.41,17.8,345,115.0
2023-12,2168,2057,5004,867,-3.27,18.9,345,115.0
2024-01,2506,2259,5004,867,-2.88,18.3,410,136.7
2024-02,2865,2387,5004,867,-2.47,21.0,410,136.7
2024-03,2696,2419,5004,867,-2.66,19.7,410,136.7
2024-04,3364,2608,5004,867,-1.89,22.9,440,146.7
2024-05,3453,2842,5004,867,-1.79,23.5,440,146.7
2024-06,3075,2993,5004,867,-2.22,21.0,440,146.7
2024-07,3956,3235,5004,867,-1.21,25.2,470,156.7
2024-08,4031,3429,5004,867,-1.12,25.7,470,156.7
2024-09,3739,3603,5004,867,-1.46,23.9,470,156.7
2024-10,3834,3681,5004,867,-1.35,25.3,455,151.7
2024-11,3202,3640,5004,867,-2.08,21.1,455,151.7
2024-12,2951,3619,5004,867,-2.37,19.5,455,151.7
2025-01,3826,3597,5004,867,-1.36,22.1,520,173.3
2025-02,3354,3484,5004,867,-1.9,19.4,520,173.3
2025-03,4358,3588,5004,867,-0.75,25.1,520,173.3
2025-04,4377,3678,5004,867,-0.72,22.6,580,193.3
2025-05,4017,3814,5004,867,-1.14,20.8,580,193.3
2025-06,4845,4130,5004,867,-0.18,25.1,580,193.3
2025-07,4660,4268,5004,867,-0.4,21.5,650,216.7
2025-08,4087,4391,5004,867,-1.06,18.9,650,216.7
2025-09,5617,4600,5004,867,0.71,25.9,650,216.7
2025-10,6877,5017,5004,867,2.16,28.7,720,240.0
2025-11,5869,5326,5004,867,1.0,24.5,720,240.0
2025-12,5289,5400,5004,867,0.33,22.0,720,240.0
2026-01,4404,5357,5004,867,-0.69,,,
2026-02,5652,5618,5004,867,0.75,,,
