month,reports,ma_6mo,avg_1yr,sd_1yr,z_score,rate_per_m,qtr_revenue,mo_revenue
2023-03,1266,1266,5638,937,-4.67,9.5,400,133.3
2023-04,2418,1842,5638,937,-3.44,17.4,418,139.3
2023-05,2768,2151,5638,937,-3.06,19.9,418,139.3
2023-06,2993,2361,5638,937,-2.82,21.5,418,139.3
2023-07,2641,2417,5638,937,-3.2,18.3,432,144.0
2023-08,3577,2610,5638,937,-2.2,24.8,432,144.0
2023-09,3916,3052,5638,937,-1.84,27.2,432,144.0
2023-10,3737,3272,5638,937,-2.03,27.3,411,137.0
2023-11,3146,3335,5638,937,-2.66,23.0,411,137.0
2023-12,3330,3391,5638,937,-2.46,24.3,411,137.0
2024-01,3612,3553,5638,937,-2.16,22.7,478,159.3
2024-02,3948,3615,5638,937,-1.8,24.8,478,159.3
2024-03,3780,3592,5638,937,-1.98,23.7,478,159.3
2024-04,4352,3695,5638,937,-1.37,25.9,505,168.3
2024-05,4539,3927,5638,937,-1.17,27.0,505,168.3
2024-06,4006,4040,5638,937,-1.74,23.8,505,168.3
2024-07,5362,4331,5638,937,-0.29,30.1,534,178.0
2024-08,5186,4538,5638,937,-0.48,29.1,534,178.0
2024-09,4840,4714,5638,937,-0.85,27.2,534,178.0
2024-10,4924,4810,5638,937,-0.76,28.6,516,172.0
2024-11,3937,4709,5638,937,-1.82,22.9,516,172.0
2024-12,3644,4649,5638,937,-2.13,21.2,516,172.0
2025-01,4663,4532,5638,937,-1.04,24.1,580,193.3
2025-02,4006,4336,5638,937,-1.74,20.7,580,193.3
2025-03,5257,4405,5638,937,-0.41,27.2,580,193.3
2025-04,4993,4417,5638,937,-0.69,23.4,640,213.3
2025-05,4640,4534,5638,937,-1.07,21.8,640,213.3
2025-06,5511,4845,5638,937,-0.14,25.8,640,213.3
2025-07,5360,4961,5638,937,-0.3,22.7,708,236.0
2025-08,4552,5052,5638,937,-1.16,19.3,708,236.0
2025-09,6315,5228,5638,937,0.72,26.8,708,236.0
2025-10,7820,5700,5638,937,2.33,30.0,782,260.7
2025-11,6482,6007,5638,937,0.9,24.9,782,260.7
2025-12,5758,6048,5638,937,0.13,22.1,782,260.7
2026-01,4834,5960,5638,937,-0.86,,,
2026-02,6129,6223,5638,937,0.52,,,
