month,reports,ma_6mo,avg_1yr,sd_1yr,z_score,rate_per_m,qtr_revenue,mo_revenue
2023-03,472,472,583,151,-0.74,17.7,80,26.7
2023-04,888,680,583,151,2.02,34.2,78,26.0
2023-05,1091,817,583,151,3.36,42.0,78,26.0
2023-06,1319,942,583,151,4.87,50.7,78,26.0
2023-07,1115,977,583,151,3.52,46.5,72,24.0
2023-08,1166,1008,583,151,3.86,48.6,72,24.0
2023-09,1163,1124,583,151,3.84,48.5,72,24.0
2023-10,1239,1182,583,151,4.34,56.3,66,22.0
2023-11,902,1151,583,151,2.11,41.0,66,22.0
2023-12,964,1092,583,151,2.52,43.8,66,22.0
2024-01,933,1061,583,151,2.32,41.1,68,22.7
2024-02,962,1027,583,151,2.51,42.4,68,22.7
2024-03,963,994,583,151,2.52,42.4,68,22.7
2024-04,895,936,583,151,2.07,41.2,65,21.7
2024-05,979,949,583,151,2.62,45.1,65,21.7
2024-06,831,927,583,151,1.64,38.3,65,21.7
2024-07,1273,984,583,151,4.57,59.8,64,21.3
2024-08,1039,997,583,151,3.02,48.8,64,21.3
2024-09,1014,1005,583,151,2.85,47.6,64,21.3
2024-10,997,1022,583,151,2.74,49.1,61,20.3
2024-11,671,971,583,151,0.58,33.1,61,20.3
2024-12,602,933,583,151,0.13,29.7,61,20.3
2025-01,754,846,583,151,1.13,37.7,60,20.0
2025-02,594,772,583,151,0.07,29.7,60,20.0
2025-03,837,742,583,151,1.68,41.9,60,20.0
2025-04,565,670,583,151,-0.12,28.2,60,20.0
2025-05,583,656,583,151,0.0,29.1,60,20.0
2025-06,593,654,583,151,0.07,29.6,60,20.0
2025-07,643,636,583,151,0.4,33.3,58,19.3
2025-08,433,609,583,151,-0.99,22.4,58,19.3
2025-09,618,572,583,151,0.23,32.0,58,19.3
2025-10,876,624,583,151,1.94,42.3,62,20.7
2025-11,556,620,583,151,-0.18,26.9,62,20.7
2025-12,440,594,583,151,-0.95,21.3,62,20.7
2026-01,404,554,583,151,-1.19,,,
2026-02,449,557,583,151,-0.89,,,
