month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-01,2994,2994.0,0,0,2994.0,2994.0,2994.0,2994.0,2994.0,1,328,2665,3659,21.77,78.7895,0,2023-Q1
2023-02,2815,2904.5,89.5,-1.0,2904.5,2994.0,3083.5,2815.0,2725.5,2,363,2450,3559,20.47,74.0789,0,2023-Q1
2023-03,2857,2888.7,76.4,-0.41,2888.7,2965.1,3041.5,2812.2,2735.8,2,352,2503,3579,20.78,75.1842,0,2023-Q1
2023-04,2418,2771.0,214.3,-1.65,2771.0,2985.3,3199.6,2556.7,2342.4,2,267,2149,2970,16.79,60.45,0,2023-Q2
2023-05,2768,2770.4,191.7,-0.01,2770.4,2962.1,3153.7,2578.7,2387.1,0,349,2416,3463,19.22,69.2,0,2023-Q2
2023-06,2993,2807.5,193.6,0.96,2807.5,3001.1,3194.8,2613.9,2420.2,0,343,2650,3679,20.78,74.825,-16.71,2023-Q2
2023-07,2641,2783.7,188.5,-0.76,2748.7,2972.2,3160.7,2595.2,2406.7,3,283,2355,3234,16.64,62.881,-3.2,2023-Q3
2023-08,3577,2882.9,316.1,2.2,2875.7,3199.0,3515.1,2566.8,2250.7,4,355,3218,4323,22.54,85.1667,128.4,2023-Q3
2023-09,3916,2997.7,440.7,2.08,3052.2,3438.4,3879.1,2556.9,2116.2,5,324,3587,4609,24.68,93.2381,273.29,2023-Q3
2023-10,3737,3071.6,473.3,1.41,3272.0,3544.9,4018.2,2598.3,2125.0,2,343,3392,4441,21.5,84.9318,244.29,2023-Q4
2023-11,3146,3078.4,451.8,0.15,3335.0,3530.1,3981.9,2626.6,2174.8,3,345,2797,3862,18.1,71.5,125.49,2023-Q4
2023-12,3330,3099.3,438.1,0.53,3391.2,3537.4,3975.5,2661.2,2223.1,2,336,2992,4020,19.16,75.6818,56.37,2023-Q4
2024-01,3612,3150.8,458.5,1.01,3553.0,3609.4,4067.9,2692.3,2233.8,3,429,3180,4497,22.5,78.5217,-62.11,2024-Q1
2024-02,3948,3245.2,494.9,1.42,3614.8,3740.1,4235.0,2750.4,2255.5,3,418,3527,4811,24.6,85.8261,-0.89,2024-Q1
2024-03,3780,3322.2,500.2,0.92,3592.2,3822.4,4322.7,2821.9,2321.7,1,336,3443,4461,23.55,82.1739,82.94,2024-Q1
2024-04,4352,3483.3,494.5,1.76,3694.7,3977.8,4472.3,2988.8,2494.3,1,393,3958,5147,24.62,90.6667,220.46,2024-Q2
2024-05,4539,3630.9,522.5,1.74,3926.8,4153.4,4675.9,3108.4,2586.0,0,425,4113,5388,25.67,94.5625,231.34,2024-Q2
2024-06,4006,3715.3,493.6,0.59,4039.5,4209.0,4702.6,3221.7,2728.1,0,332,3673,4669,22.66,83.4583,123.29,2024-Q2
2024-07,5362,3942.1,567.5,2.5,4331.2,4509.6,5077.0,3374.6,2807.1,2,389,4970,6157,29.58,105.1373,226.71,2024-Q3
2024-08,5186,4076.2,649.5,1.71,4537.5,4725.7,5375.2,3426.6,2777.1,2,430,4754,6064,28.6,101.6863,272.2,2024-Q3
2024-09,4840,4153.2,680.0,1.01,4714.2,4833.2,5513.2,3473.1,2793.1,0,329,4510,5497,26.7,94.902,163.91,2024-Q3
2024-10,4924,4252.1,698.4,0.96,4809.5,4950.5,5648.8,3553.7,2855.3,1,431,4492,5795,24.71,91.1852,121.46,2024-Q4
2024-11,3937,4318.0,624.3,-0.61,4709.2,4942.3,5566.5,3693.7,3069.5,3,389,3545,4742,19.76,72.9074,-57.29,2024-Q4
2024-12,3644,4344.2,587.8,-1.19,4648.8,4932.0,5519.8,3756.3,3168.5,1,373,3270,4399,18.29,67.4815,-350.09,2024-Q4
2025-01,4663,4431.8,549.2,0.42,4532.3,4981.0,5530.2,3882.5,3333.3,3,446,4214,5582,25.21,83.2679,-205.43,2025-Q1
2025-02,4006,4436.6,545.2,-0.79,4335.7,4981.8,5527.0,3891.4,3346.2,1,361,3644,4737,21.65,71.5357,-149.89,2025-Q1
2025-03,5257,4559.7,549.8,1.27,4405.2,5109.4,5659.2,4009.9,3460.1,2,498,4757,6271,28.42,93.875,82.6,2025-Q1
2025-04,4993,4613.1,558.1,0.68,4416.7,5171.2,5729.3,4055.0,3496.9,0,501,4491,5994,22.87,86.8348,270.34,2025-Q2
