month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-01,1357,1357.0,0,0,1357.0,1357.0,1357.0,1357.0,1357.0,0,109,1248,1575,9.87,35.7105,0,2023-Q1
2023-02,1065,1211.0,146.0,-1.0,1211.0,1357.0,1503.0,1065.0,919.0,2,105,958,1293,7.75,28.0263,0,2023-Q1
2023-03,1118,1180.0,127.0,-0.49,1180.0,1307.0,1434.0,1053.0,926.0,2,120,996,1376,8.13,29.4211,0,2023-Q1
2023-04,888,1107.0,167.6,-1.31,1107.0,1274.6,1442.2,939.4,771.8,1,86,801,1069,6.17,22.2,0,2023-Q2
2023-05,1091,1103.8,150.0,-0.09,1103.8,1253.8,1403.9,953.8,803.7,0,113,978,1317,7.57,27.275,0,2023-Q2
2023-06,1319,1139.7,158.7,1.13,1139.7,1298.4,1457.1,981.0,822.2,0,98,1221,1515,9.16,32.975,-9.77,2023-Q2
2023-07,1115,1136.1,147.2,-0.14,1099.3,1283.3,1430.5,988.9,841.8,1,70,1044,1264,7.03,26.5476,30.17,2023-Q3
2023-08,1166,1139.9,138.0,0.19,1116.2,1277.9,1416.0,1001.8,863.8,0,80,1086,1326,7.35,27.7619,32.83,2023-Q3
2023-09,1163,1142.4,130.4,0.16,1123.7,1272.8,1403.1,1012.1,881.7,2,82,1079,1345,7.33,27.6905,39.89,2023-Q3
2023-10,1239,1152.1,127.0,0.68,1182.2,1279.1,1406.1,1025.1,898.1,1,65,1173,1378,7.13,28.1591,9.23,2023-Q4
2023-11,902,1129.4,140.8,-1.61,1150.7,1270.2,1411.0,988.5,847.7,0,75,827,1052,5.19,20.5,-49.03,2023-Q4
2023-12,964,1115.6,142.4,-1.06,1091.5,1258.0,1400.3,973.2,830.8,0,65,899,1094,5.55,21.9091,-42.03,2023-Q4
2024-01,933,1080.2,130.2,-1.13,1061.2,1210.4,1340.6,950.1,819.9,0,81,852,1095,5.81,20.2826,-59.97,2024-Q1
2024-02,962,1071.7,134.2,-0.82,1027.2,1205.9,1340.1,937.4,803.2,0,72,890,1106,5.99,20.913,-53.17,2024-Q1
2024-03,963,1058.8,136.6,-0.7,993.8,1195.3,1331.9,922.2,785.6,1,75,887,1122,6.0,20.9348,-35.17,2024-Q1
2024-04,895,1059.3,135.9,-1.21,936.5,1195.2,1331.1,923.5,787.6,0,58,837,1011,5.06,18.6458,-0.26,2024-Q2
2024-05,979,1050.0,137.2,-0.52,949.3,1187.2,1324.4,912.8,775.6,0,97,882,1173,5.54,20.3958,-1.09,2024-Q2
2024-06,831,1009.3,123.0,-1.45,927.2,1132.4,1255.4,886.3,763.3,0,65,766,961,4.7,17.3125,-15.06,2024-Q2
2024-07,1273,1022.5,140.8,1.78,983.8,1163.3,1304.1,881.7,740.9,0,88,1185,1449,7.02,24.9608,35.51,2024-Q3
2024-08,1039,1011.9,134.2,0.2,996.7,1146.2,1280.4,877.7,743.4,0,63,976,1165,5.73,20.3725,39.03,2024-Q3
2024-09,1014,999.5,126.4,0.11,1005.2,1125.9,1252.2,873.1,746.8,0,56,958,1126,5.59,19.8824,34.77,2024-Q3
2024-10,997,979.3,103.8,0.17,1022.2,1083.2,1187.0,875.5,771.7,0,77,920,1151,5.0,18.463,11.57,2024-Q4
2024-11,671,960.1,133.5,-2.16,970.8,1093.6,1227.2,826.5,693.0,1,55,615,790,3.37,12.4259,-47.23,2024-Q4
2024-12,602,929.9,166.2,-1.97,932.7,1096.1,1262.2,763.8,597.6,0,57,545,716,3.02,11.1481,-127.89,2024-Q4
2025-01,754,915.0,173.1,-0.93,846.2,1088.1,1261.2,741.9,568.8,2,63,689,898,4.08,13.4643,-85.34,2025-Q1
2025-02,594,884.3,193.5,-1.5,772.0,1077.8,1271.2,690.9,497.4,0,44,550,682,3.21,10.6071,-82.8,2025-Q1
2025-03,837,873.8,192.3,-0.19,742.5,1066.2,1258.5,681.5,489.2,2,52,783,959,4.52,14.9464,-25.11,2025-Q1
2025-04,565,846.3,210.1,-1.34,670.5,1056.4,1266.5,636.2,426.1,0,47,518,659,2.59,9.8261,0.43,2025-Q2
2025-05,583,813.3,217.6,-1.06,655.8,1031.0,1248.6,595.7,378.1,1,38,544,668,2.67,10.1391,-11.97,2025-Q2
2025-06,593,793.5,225.8,-0.89,654.3,1019.3,1245.1,567.7,341.9,0,25,568,643,2.72,10.313,-31.71,2025-Q2
2025-07,643,741.0,176.0,-0.56,635.8,917.0,1092.9,565.0,389.1,0,43,600,729,2.73,10.8983,-13.4,2025-Q3
2025-08,433,690.5,170.0,-1.51,609.0,860.5,1030.6,520.5,350.4,0,33,400,499,1.84,7.339,-50.74,2025-Q3
2025-09,618,657.5,139.8,-0.28,572.5,797.3,937.1,517.7,377.9,0,44,574,706,2.62,10.4746,-3.86,2025-Q3
2025-10,876,647.4,117.5,1.94,624.3,765.0,882.5,529.9,412.3,0,46,830,968,3.35,14.6,38.0,2025-Q4
2025-11,556,637.8,119.9,-0.68,619.8,757.7,877.6,517.9,398.1,1,32,523,629,2.13,9.2667,19.97,2025-Q4
2025-12,440,624.3,131.7,-1.4,594.3,756.0,887.7,492.6,360.9,0,28,412,496,1.68,7.3333,-11.09,2025-Q4
2026-01,404,595.2,138.3,-1.38,554.5,733.5,871.9,456.8,318.5,0,19,385,442,1.5,6.5161,-28.54,2026-Q1
2026-02,449,583.1,144.1,-0.93,557.2,727.2,871.3,439.0,294.8,1,25,423,508,1.66,7.2419,-67.91,2026-Q1
