month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-01,1205,1205.0,0,0,1205.0,1205.0,1205.0,1205.0,1205.0,1,165,1039,1544,8.76,31.7105,0,2023-Q1
2023-02,1427,1316.0,111.0,1.0,1316.0,1427.0,1538.0,1205.0,1094.0,0,211,1216,1849,10.38,37.5526,0,2023-Q1
2023-03,1441,1357.7,108.1,0.77,1357.7,1465.8,1573.9,1249.6,1141.5,0,202,1239,1845,10.48,37.9211,0,2023-Q1
2023-04,1290,1340.8,98.1,-0.52,1340.8,1438.8,1536.9,1242.7,1144.6,0,146,1144,1582,8.96,32.25,0,2023-Q2
2023-05,1435,1359.6,95.5,0.79,1359.6,1455.1,1550.6,1264.1,1168.6,0,201,1234,1837,9.96,35.875,0,2023-Q2
2023-06,1392,1365.0,88.0,0.31,1365.0,1453.0,1541.0,1277.0,1189.0,0,213,1179,1818,9.66,34.8,23.09,2023-Q2
2023-07,1294,1354.9,85.2,-0.71,1379.8,1440.0,1525.2,1269.7,1184.5,2,185,1107,1682,8.16,30.8095,-19.06,2023-Q3
2023-08,2095,1447.4,257.4,2.52,1491.2,1704.8,1962.2,1190.0,932.5,3,228,1864,2578,13.2,49.881,92.54,2023-Q3
2023-09,2507,1565.1,412.1,2.29,1668.8,1977.2,2389.2,1153.0,741.0,3,222,2282,2978,15.8,59.6905,227.63,2023-Q3
2023-10,2230,1631.6,438.9,1.36,1825.5,2070.5,2509.3,1192.7,753.9,1,250,1979,2739,12.83,50.6818,232.03,2023-Q4
2023-11,2047,1669.4,435.2,0.87,1927.5,2104.5,2539.7,1234.2,799.1,3,246,1797,2565,11.78,46.5227,185.57,2023-Q4
2023-12,2168,1710.9,438.8,1.04,2056.8,2149.7,2588.6,1272.1,833.3,2,246,1920,2678,12.47,49.2727,112.83,2023-Q4
2024-01,2506,1819.3,460.6,1.49,2258.8,2279.9,2740.6,1358.7,898.1,3,324,2179,3181,15.61,54.4783,24.43,2024-Q1
2024-02,2865,1939.2,525.4,1.76,2387.2,2464.6,2990.1,1413.7,888.3,3,326,2536,3544,17.85,62.2826,78.26,2024-Q1
2024-03,2696,2043.8,540.6,1.21,2418.7,2584.3,3124.9,1503.2,962.6,0,250,2446,3196,16.8,58.6087,146.34,2024-Q1
2024-04,3364,2216.6,600.2,1.91,2607.7,2816.8,3417.0,1616.4,1016.2,1,322,3041,4017,19.03,70.0833,243.66,2024-Q2
2024-05,3453,2384.8,639.1,1.67,2842.0,3023.9,3663.0,1745.6,1106.5,0,323,3130,4099,19.53,71.9375,252.29,2024-Q2
2024-06,3075,2525.0,588.5,0.93,2993.2,3113.5,3702.1,1936.5,1347.9,0,251,2823,3576,17.39,64.0625,150.77,2024-Q2
2024-07,3956,2746.8,584.4,2.07,3234.8,3331.2,3915.6,2162.4,1578.0,1,280,3675,4525,21.82,77.5686,190.89,2024-Q3
2024-08,4031,2908.2,646.1,1.74,3429.2,3554.3,4200.5,2262.0,1615.9,2,359,3670,4767,22.23,79.0392,230.66,2024-Q3
2024-09,3739,3010.8,671.6,1.08,3603.0,3682.5,4354.1,2339.2,1667.6,0,271,3467,4280,20.62,73.3137,128.29,2024-Q3
2024-10,3834,3144.5,662.5,1.04,3681.3,3807.0,4469.4,2482.0,1819.6,1,346,3487,4535,19.24,71.0,113.49,2024-Q4
2024-11,3202,3240.8,574.0,-0.07,3639.5,3814.8,4388.8,2666.7,2092.7,2,324,2876,3868,16.07,59.2963,-0.66,2024-Q4
2024-12,2951,3306.0,486.2,-0.73,3618.8,3792.2,4278.3,2819.8,2333.7,1,306,2644,3572,14.81,54.6481,-211.91,2024-Q4
2025-01,3826,3416.0,439.8,0.93,3597.2,3855.8,4295.7,2976.2,2536.3,1,343,3482,4521,20.68,68.3214,-114.89,2025-Q1
2025-02,3354,3456.8,408.4,-0.25,3484.3,3865.2,4273.6,3048.3,2639.9,1,310,3043,3983,18.13,59.8929,-62.86,2025-Q1
2025-03,4358,3595.2,408.8,1.87,3587.5,4004.0,4412.8,3186.5,2777.7,0,438,3920,5234,23.56,77.8214,112.89,2025-Q1
2025-04,4377,3679.7,454.3,1.53,3678.0,4134.0,4588.4,3225.3,2771.0,0,440,3936,5256,20.05,76.1217,274.97,2025-Q2
2025-05,4017,3726.7,457.6,0.63,3813.8,4184.3,4641.9,3269.0,2811.4,2,386,3629,4807,18.4,69.8609,228.2,2025-Q2
2025-06,4845,3874.2,506.5,1.92,4129.5,4380.6,4887.1,3367.7,2861.3,3,480,4362,5832,22.19,84.2609,202.94,2025-Q2
2025-07,4660,3932.8,551.3,1.32,4268.5,4484.2,5035.5,3381.5,2830.2,0,429,4231,5518,19.79,78.9831,218.03,2025-Q3
2025-08,4087,3937.5,552.4,0.27,4390.7,4489.9,5042.2,3385.1,2832.8,1,391,3695,4878,17.36,69.2712,9.2,2025-Q3
2025-09,5617,4094.0,715.8,2.13,4600.5,4809.8,5525.6,3378.2,2662.4,3,471,5143,6586,23.86,95.2034,177.86,2025-Q3
2025-10,6877,4347.6,1043.0,2.43,5017.2,5390.6,6433.6,3304.6,2261.5,2,517,6358,7929,26.32,114.6167,458.37,2025-Q4
2025-11,5869,4569.8,1059.3,1.23,5325.8,5629.1,6688.3,3510.6,2451.3,5,458,5406,6830,22.46,97.8167,380.03,2025-Q4
2025-12,5289,4764.7,953.3,0.55,5399.8,5718.0,6671.3,3811.4,2858.1,4,564,4721,6453,20.24,88.15,278.6,2025-Q4
2026-01,4404,4812.8,918.6,-0.45,5357.2,5731.5,6650.1,3894.2,2975.6,3,456,3945,5343,16.31,71.0323,-11.63,2026-Q1
