month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-01,9,9.0,0,0,9.0,9.0,9.0,9.0,9.0,1,3,5,24,,,0,2023-Q1
2023-02,13,11.0,2.0,1.0,11.0,13.0,15.0,9.0,7.0,1,4,8,30,,,0,2023-Q1
2023-03,20,14.0,4.5,1.32,14.0,18.5,23.1,9.5,4.9,0,11,9,42,,,0,2023-Q1
2023-04,18,15.0,4.3,0.7,15.0,19.3,23.6,10.7,6.4,0,6,12,30,,,0,2023-Q2
2023-05,20,16.0,4.3,0.92,16.0,20.3,24.7,11.7,7.3,0,6,14,32,,,0,2023-Q2
2023-06,22,17.0,4.5,1.1,17.0,21.5,26.1,12.5,7.9,0,5,17,32,,,2.4,2023-Q2
2023-07,24,18.0,4.9,1.23,19.5,22.9,27.7,13.1,8.3,1,7,16,47,,,1.8,2023-Q3
2023-08,12,17.2,5.0,-1.06,19.3,22.2,27.2,12.3,7.3,0,4,8,20,,,-0.57,2023-Q3
2023-09,15,17.0,4.7,-0.42,18.5,21.7,26.5,12.3,7.5,0,2,13,19,,,-1.06,2023-Q3
2023-10,29,18.2,5.8,1.88,20.3,24.0,29.7,12.4,6.7,0,14,15,57,,,0.34,2023-Q4
2023-11,35,19.7,7.3,2.09,22.8,27.0,34.4,12.4,5.1,0,19,16,73,,,2.37,2023-Q4
2023-12,35,21.0,8.2,1.71,25.0,29.2,37.4,12.8,4.6,0,15,20,65,,,3.94,2023-Q4
2024-01,17,21.7,7.5,-0.63,23.8,29.1,36.6,14.2,6.7,0,7,10,31,,,2.6,2024-Q1
2024-02,26,22.8,7.1,0.46,26.2,29.8,36.9,15.7,8.6,0,15,11,56,,,0.54,2024-Q1
2024-03,51,25.3,10.4,2.46,32.2,35.8,46.2,14.9,4.4,1,24,26,108,,,1.86,2024-Q1
2024-04,17,25.2,10.5,-0.79,30.2,35.8,46.3,14.7,4.2,0,10,7,37,,,-0.94,2024-Q2
2024-05,26,25.8,10.4,0.02,28.7,36.1,46.5,15.4,5.0,0,12,14,50,,,-0.57,2024-Q2
2024-06,23,25.8,10.4,-0.27,26.7,36.2,46.6,15.5,5.1,1,8,14,48,,,-0.11,2024-Q2
2024-07,35,26.8,10.6,0.78,29.7,37.4,48.0,16.1,5.5,1,22,12,88,,,-0.86,2024-Q3
2024-08,28,28.1,9.7,-0.01,30.0,37.7,47.4,18.4,8.8,3,8,17,71,,,-1.83,2024-Q3
2024-09,14,28.0,9.8,-1.43,23.8,37.8,47.6,18.2,8.4,0,7,7,28,,,0.09,2024-Q3
2024-10,16,26.9,10.3,-1.06,23.7,37.2,47.5,16.6,6.3,1,9,6,43,,,-2.4,2024-Q4
2024-11,9,24.8,11.1,-1.42,20.8,35.8,46.9,13.7,2.6,1,5,3,28,,,-4.03,2024-Q4
2024-12,16,23.2,10.9,-0.66,19.7,34.0,44.9,12.3,1.4,0,6,10,28,,,-4.29,2024-Q4
2025-01,25,23.8,10.7,0.11,18.0,34.5,45.3,13.1,2.4,0,21,4,67,,,-0.46,2025-Q1
2025-02,26,23.8,10.7,0.2,17.7,34.5,45.3,13.1,2.4,0,13,13,52,,,2.69,2025-Q1
2025-03,39,22.8,8.5,1.91,21.8,31.3,39.7,14.4,5.9,1,19,19,86,,,5.0,2025-Q1
2025-04,20,23.1,8.3,-0.37,22.5,31.4,39.7,14.8,6.4,0,14,6,48,,,3.57,2025-Q2
2025-05,17,22.3,8.4,-0.63,23.8,30.8,39.2,13.9,5.5,0,11,6,39,,,0.09,2025-Q2
2025-06,21,22.2,8.4,-0.14,24.7,30.6,39.0,13.7,5.3,0,11,10,43,,,-1.89,2025-Q2
2025-07,24,21.2,7.5,0.36,24.5,28.8,36.3,13.7,6.2,0,13,11,50,,,-1.91,2025-Q3
2025-08,10,19.8,7.8,-1.24,21.8,27.6,35.4,11.9,4.1,0,8,2,26,,,-3.69,2025-Q3
2025-09,13,19.7,7.9,-0.84,17.5,27.6,35.5,11.8,3.9,0,7,6,27,,,-1.51,2025-Q3
2025-10,9,19.1,8.4,-1.2,15.7,27.5,35.9,10.7,2.3,0,6,3,21,,,-2.23,2025-Q4
2025-11,7,18.9,8.6,-1.38,14.0,27.5,36.1,10.3,1.7,1,4,2,24,,,-3.2,2025-Q4
2025-12,11,18.5,8.9,-0.85,12.3,27.4,36.2,9.6,0.8,0,8,3,27,,,-2.23,2025-Q4
2026-01,7,17.0,9.1,-1.09,9.5,26.1,35.3,7.9,0,1,2,4,20,,,-0.66,2026-Q1
2026-02,9,15.6,9.0,-0.73,9.3,24.5,33.5,6.6,0,1,7,1,32,,,-0.63,2026-Q1
