month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-01,3,3.0,0,0,3.0,3.0,3.0,3.0,3.0,0,1,2,5,0.05,0.0938,0,2023-Q1
2023-02,12,7.5,4.5,1.0,7.5,12.0,16.5,3.0,0,0,0,12,12,0.21,0.375,0,2023-Q1
2023-03,7,7.3,3.7,-0.09,7.3,11.0,14.7,3.7,0,0,1,6,9,0.12,0.2188,0,2023-Q1
2023-04,13,8.8,4.0,1.06,8.8,12.8,16.8,4.7,0.7,0,2,11,17,0.21,0.3939,0,2023-Q2
2023-05,22,11.4,6.4,1.65,11.4,17.8,24.2,5.0,0,0,6,16,34,0.36,0.6667,0,2023-Q2
2023-06,16,12.2,6.1,0.63,12.2,18.3,24.4,6.1,0,0,0,16,16,0.26,0.4848,2.89,2023-Q2
2023-07,17,12.9,5.9,0.7,14.5,18.7,24.6,7.0,1.1,0,8,9,33,0.26,0.5,1.74,2023-Q3
2023-08,11,12.6,5.5,-0.29,14.3,18.2,23.7,7.1,1.5,1,4,6,28,0.17,0.3235,0.74,2023-Q3
2023-09,9,12.2,5.3,-0.6,14.7,17.6,22.9,6.9,1.5,0,1,8,11,0.14,0.2647,-1.49,2023-Q3
2023-10,9,11.9,5.2,-0.56,14.0,17.1,22.2,6.7,1.6,0,1,8,11,0.14,0.2571,-2.63,2023-Q4
2023-11,82,18.3,20.7,3.07,24.0,39.0,59.8,0,0,0,4,78,90,1.25,2.3429,8.69,2023-Q4
2023-12,156,29.8,42.9,2.94,47.3,72.7,115.6,0,0,0,12,144,180,2.38,4.4571,25.94,2023-Q4
2024-01,73,35.6,43.7,0.86,56.7,79.2,122.9,0,0,0,2,71,77,1.13,2.0563,23.54,2024-Q1
2024-02,18,36.1,43.4,-0.42,57.8,79.5,122.9,0,0,0,3,14,23,0.28,0.507,8.89,2024-Q1
2024-03,64,40.8,43.1,0.54,67.0,83.9,127.0,0,0,0,8,56,80,0.99,1.8028,0.0,2024-Q1
2024-04,69,45.5,42.9,0.55,77.0,88.4,131.2,2.6,0,0,11,58,91,0.96,1.8904,-11.31,2024-Q2
2024-05,218,61.8,63.3,2.47,99.7,125.1,188.4,0,0,1,31,186,289,3.05,5.9726,9.83,2024-Q2
2024-06,257,81.9,81.2,2.16,116.5,163.2,244.4,0.7,0,0,41,216,339,3.59,7.0411,43.57,2024-Q2
2024-07,680,137.2,181.7,2.99,217.7,318.8,500.5,0,0,0,87,593,854,8.18,18.1333,115.37,2024-Q3
2024-08,946,215.1,283.1,2.58,372.3,498.1,781.2,0,0,0,131,815,1208,11.37,25.2267,179.49,2024-Q3
2024-09,890,288.5,330.4,1.82,510.0,618.9,949.3,0,0,1,121,768,1141,10.7,23.7333,191.77,2024-Q3
2024-10,1334,398.9,426.1,2.19,720.8,825.0,1251.1,0,0,0,189,1145,1712,14.16,34.2051,221.29,2024-Q4
2024-11,1393,508.2,493.5,1.79,916.7,1001.7,1495.3,14.6,0,0,177,1216,1747,14.79,35.7179,216.74,2024-Q4
2024-12,1937,656.6,617.5,2.07,1196.7,1274.1,1891.7,39.0,0,0,223,1714,2383,20.56,49.6667,230.57,2024-Q4
2025-01,3001,900.6,866.9,2.42,1583.5,1767.5,2634.3,33.7,0,0,307,2694,3615,39.84,75.9747,385.0,2025-Q1
2025-02,2416,1100.4,915.4,1.44,1828.5,2015.8,2931.3,185.0,0,0,277,2139,2970,32.07,61.1646,376.43,2025-Q1
2025-03,2756,1324.8,962.6,1.49,2139.5,2287.3,3249.9,362.2,0,1,314,2441,3393,36.58,69.7722,321.23,2025-Q1
2025-04,3383,1600.9,1035.3,1.72,2481.0,2636.3,3671.6,565.6,0,1,420,2962,4232,48.82,84.575,337.77,2025-Q2
2025-05,3895,1907.3,1121.3,1.77,2898.0,3028.6,4149.9,786.1,0,2,512,3381,4937,56.2,97.375,322.17,2025-Q2
2025-06,3631,2188.5,1094.9,1.32,3180.3,3283.4,4378.3,1093.6,0,0,559,3072,4749,52.4,90.775,234.69,2025-Q2
2025-07,5536,2593.2,1333.9,2.21,3602.8,3927.0,5260.9,1259.3,0,1,874,4661,7293,57.19,135.0244,535.34,2025-Q3
2025-08,4356,2877.3,1315.8,1.12,3926.2,4193.1,5508.9,1561.5,245.7,1,649,3706,5663,45.0,106.2439,405.57,2025-Q3
2025-09,4484,3176.8,1236.0,1.06,4214.2,4412.8,5648.8,1940.9,704.9,0,752,3732,5988,46.32,109.3659,251.23,2025-Q3
2025-10,4225,3417.8,1130.5,0.71,4354.5,4548.3,5678.8,2287.2,1156.7,0,769,3456,5763,43.65,100.5952,86.54,2025-Q4
2025-11,3137,3563.1,960.2,-0.44,4228.2,4523.3,5483.4,2602.9,1642.7,0,544,2593,4225,32.41,74.6905,-179.29,2025-Q4
2025-12,3835,3721.2,826.3,0.14,4262.2,4547.5,5373.8,2895.0,2068.7,0,593,3241,5020,39.62,91.3095,-354.89,2025-Q4
2026-01,3684,3778.2,797.7,-0.12,3953.5,4575.9,5373.7,2980.4,2182.7,0,551,3133,4786,42.51,84.6897,-182.71,2026-Q1
2026-02,3104,3835.5,718.6,-1.02,3744.8,4554.1,5272.7,3116.9,2398.3,1,502,2601,4117,35.82,71.3563,-223.57,2026-Q1
