month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-10,3,3.0,0,0,3.0,3.0,3.0,3.0,3.0,0,0,3,3,0.05,0.0857,0,2023-Q4
2023-11,73,38.0,35.0,1.0,38.0,73.0,108.0,3.0,0,0,3,70,79,1.12,2.0857,0,2023-Q4
2023-12,144,73.3,57.6,1.23,73.3,130.9,188.5,15.8,0,0,5,139,154,2.2,4.1143,0,2023-Q4
2024-01,65,71.2,50.0,-0.13,71.2,121.2,171.2,21.3,0,0,2,63,69,1.01,1.831,0,2024-Q1
2024-02,10,59.0,51.0,-0.96,59.0,110.0,161.0,8.0,0,0,0,10,10,0.16,0.2817,0,2024-Q1
2024-03,52,57.8,46.6,-0.13,57.8,104.4,151.1,11.2,0,0,4,48,60,0.81,1.4648,-0.66,2024-Q1
2024-04,63,58.6,43.2,0.1,67.8,101.8,145.0,15.4,0,0,10,53,83,0.88,1.726,-10.89,2024-Q2
2024-05,206,77.0,63.3,2.04,90.0,140.3,203.6,13.7,0,0,30,176,266,2.88,5.6438,9.89,2024-Q2
2024-06,243,95.4,79.3,1.86,106.5,174.7,254.0,16.2,0,0,33,210,309,3.4,6.6575,42.54,2024-Q2
2024-07,672,153.1,188.6,2.75,207.7,341.7,530.3,0,0,0,84,588,840,8.08,17.92,115.03,2024-Q3
2024-08,929,223.6,286.5,2.46,360.8,510.2,796.7,0,0,0,120,809,1169,11.17,24.7733,178.54,2024-Q3
2024-09,880,278.3,328.9,1.83,498.8,607.2,936.1,0,0,0,116,764,1112,10.58,23.4667,190.94,2024-Q3
2024-10,1326,388.6,425.6,2.2,709.3,814.2,1239.8,0,0,0,186,1140,1698,14.08,34.0,221.94,2024-Q4
2024-11,1391,498.4,494.5,1.81,906.8,992.9,1487.4,3.9,0,0,176,1215,1743,14.77,35.6667,218.66,2024-Q4
2024-12,1930,647.2,618.6,2.07,1188.0,1265.9,1884.5,28.6,0,0,221,1709,2372,20.49,49.4872,232.06,2024-Q4
2025-01,2993,891.2,868.0,2.42,1574.8,1759.3,2627.3,23.2,0,0,303,2690,3599,39.73,75.7722,386.71,2025-Q1
2025-02,2401,1090.5,916.0,1.43,1820.2,2006.5,2922.4,174.5,0,0,269,2132,2939,31.87,60.7848,375.57,2025-Q1
2025-03,2752,1315.5,963.6,1.49,2132.2,2279.1,3242.7,351.9,0,1,311,2440,3383,36.53,69.6709,320.66,2025-Q1
2025-04,3381,1592.0,1037.7,1.72,2474.7,2629.7,3667.5,554.3,0,1,418,2962,4226,48.79,84.525,337.83,2025-Q2
2025-05,3889,1898.9,1123.5,1.77,2891.0,3022.4,4145.9,775.4,0,0,509,3380,4907,56.12,97.225,323.14,2025-Q2
2025-06,3629,2181.1,1097.1,1.32,3174.2,3278.2,4375.2,1084.0,0,0,557,3072,4743,52.37,90.725,236.37,2025-Q2
2025-07,5531,2586.0,1336.0,2.2,3597.2,3922.0,5258.1,1250.0,0,1,874,4656,7288,57.14,134.9024,536.83,2025-Q3
2025-08,4352,2871.2,1317.1,1.12,3922.3,4188.3,5505.4,1554.2,237.1,1,645,3706,5651,44.96,106.1463,405.43,2025-Q3
2025-09,4481,3171.3,1237.0,1.06,4210.5,4408.3,5645.4,1934.3,697.3,0,751,3730,5983,46.29,109.2927,251.17,2025-Q3
2025-10,4203,3411.1,1130.3,0.7,4347.5,4541.4,5671.7,2280.8,1150.4,0,756,3447,5715,43.42,100.0714,84.2,2025-Q4
2025-11,3130,3556.0,960.8,-0.44,4221.0,4516.8,5477.6,2595.2,1634.4,0,539,2591,4208,32.33,74.5238,-181.43,2025-Q4
2025-12,3829,3714.2,827.1,0.14,4254.3,4541.3,5368.4,2887.2,2060.1,0,590,3239,5009,39.56,91.1667,-355.83,2025-Q4
2026-01,3679,3771.4,798.4,-0.12,3945.7,4569.9,5368.3,2973.0,2174.5,0,546,3133,4771,42.45,84.5747,-182.69,2026-Q1
2026-02,3095,3829.2,718.2,-1.02,3736.2,4547.4,5265.6,3111.1,2392.9,0,497,2598,4089,35.71,71.1494,-222.94,2026-Q1
