month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-01,12998,12998.0,0,0,12998.0,12998.0,12998.0,12998.0,12998.0,5,965,12028,14973,227.9,406.1875,0,2023-Q1
2023-02,13740,13369.0,371.0,1.0,13369.0,13740.0,14111.0,12998.0,12627.0,6,1167,12567,16128,240.91,429.375,0,2023-Q1
2023-03,16557,14431.7,1533.1,1.39,14431.7,15964.7,17497.8,12898.6,11365.5,3,1194,15360,18972,290.3,517.4062,0,2023-Q1
2023-04,14176,14367.8,1332.3,-0.14,14367.8,15700.0,17032.3,13035.5,11703.2,0,1031,13145,16238,229.26,429.5758,0,2023-Q2
2023-05,15617,14617.6,1292.2,0.77,14617.6,15909.8,17201.9,13325.4,12033.3,1,1229,14387,18084,252.57,473.2424,0,2023-Q2
2023-06,15796,14814.0,1258.7,0.78,14814.0,16072.7,17331.3,13555.3,12296.7,4,1142,14650,18116,255.46,478.6667,492.57,2023-Q2
2023-07,14360,14749.1,1176.1,-0.33,15041.0,15925.2,17101.3,13573.1,12397.0,3,1095,13262,16577,221.95,422.3529,64.51,2023-Q3
2023-08,17251,15061.9,1376.5,1.59,15626.2,16438.4,17815.0,13685.3,12308.8,2,1276,15973,19821,266.63,507.3824,120.03,2023-Q3
2023-09,14283,14975.3,1320.7,-0.52,15247.2,16296.0,17616.7,13654.6,12333.9,2,1123,13158,16547,220.76,420.0882,114.31,2023-Q3
2023-10,15832,15061.0,1279.0,0.6,15523.2,16340.0,17619.0,13782.0,12503.0,2,1329,14501,18508,241.96,452.3429,-16.37,2023-Q4
2023-11,15861,15133.7,1241.0,0.59,15563.8,16374.7,17615.7,13892.7,12651.7,1,1323,14537,18516,242.4,453.1714,50.66,2023-Q4
2023-12,15261,15144.3,1188.7,0.1,15474.7,16333.0,17521.7,13955.7,12767.0,0,1335,13926,17931,233.23,436.0286,53.83,2023-Q4
2024-01,16263,15416.4,1029.2,0.82,15791.8,16445.6,17474.9,14387.2,13358.0,1,1533,14729,19338,252.14,458.1127,-56.49,2024-Q1
2024-02,14598,15487.9,935.9,-0.95,15349.7,16423.8,17359.6,14552.1,13616.2,1,1520,13077,17647,226.33,411.2113,64.8,2024-Q1
2024-03,19228,15710.5,1377.2,2.55,16173.8,17087.7,18464.9,14333.3,12956.1,1,1788,17439,22813,298.11,541.6338,405.51,2024-Q1
2024-04,20064,16201.2,1743.3,2.22,16879.2,17944.5,19687.8,14457.8,12714.5,6,2129,17929,24376,280.48,549.6986,892.89,2024-Q2
2024-05,19622,16534.9,1968.4,1.57,17506.0,18503.3,20471.7,14566.5,12598.2,1,2148,17473,23927,274.31,537.589,1081.09,2024-Q2
2024-06,16591,16601.2,1955.7,-0.01,17727.7,18556.9,20512.6,14645.4,12689.7,0,1788,14803,20167,231.93,454.5479,501.37,2024-Q2
2024-07,24888,17478.5,2891.2,2.56,19165.2,20369.7,23261.0,14587.3,11696.0,2,2599,22287,30104,299.25,663.68,1231.34,2024-Q3
2024-08,24192,18056.9,3431.7,1.79,20764.2,21488.6,24920.2,14625.3,11193.6,4,2388,21800,29004,290.89,645.12,1036.03,2024-Q3
2024-09,19318,18476.5,3247.4,0.26,20779.2,21723.9,24971.4,15229.1,11981.6,3,1753,17562,22851,232.28,515.1467,522.2,2024-Q3
2024-10,20688,18881.2,3194.8,0.57,20883.2,22076.0,25270.8,15686.3,12491.5,7,2056,18625,24863,219.62,530.4615,366.14,2024-Q4
2024-11,15347,18838.3,3238.2,-1.08,20170.7,22076.5,25314.7,15600.2,12362.0,2,1479,13866,18323,162.92,393.5128,-676.97,2024-Q4
2024-12,18785,19132.0,3055.1,-0.11,20536.3,22187.1,25242.1,16076.9,13021.9,1,1821,16963,22436,199.42,481.6667,-1590.86,2024-Q4
2025-01,21408,19560.8,2982.5,0.62,19956.3,22543.2,25525.7,16578.3,13595.8,2,1755,19651,24936,284.18,541.9747,-596.0,2025-Q1
2025-02,14097,19519.0,3054.3,-1.78,18273.8,22573.3,25627.6,16464.7,13410.4,3,1312,12782,16748,187.13,356.8861,-585.91,2025-Q1
2025-03,16103,19258.6,3197.9,-0.99,17738.0,22456.5,25654.3,16060.7,12862.8,1,1567,14535,19246,213.76,407.6709,-687.2,2025-Q1
2025-04,16861,18991.7,3252.7,-0.66,17100.2,22244.4,25497.1,15739.0,12486.2,2,1638,15221,20155,243.3,421.525,-222.49,2025-Q2
2025-05,15903,18681.8,3353.5,-0.83,17192.8,22035.3,25388.8,15328.2,11974.7,2,1768,14133,19457,229.48,397.575,-744.14,2025-Q2
2025-06,13371,18413.4,3627.7,-1.39,16290.5,22041.1,25668.8,14785.7,11158.1,2,1820,11549,17029,192.94,334.275,-971.69,2025-Q2
2025-07,22100,18181.1,3278.0,1.2,16405.8,21459.1,24737.1,14903.1,11625.1,2,2399,19699,26916,228.31,539.0244,881.74,2025-Q3
2025-08,18427,17700.7,2740.2,0.27,17127.5,20440.8,23181.0,14960.5,12220.3,4,1982,16441,22427,190.36,449.439,708.71,2025-Q3
2025-09,17618,17559.0,2696.5,0.02,17380.0,20255.5,22952.0,14862.5,12166.0,0,2105,15513,21828,182.0,429.7073,573.89,2025-Q3
2025-10,18076,17341.3,2535.8,0.29,17582.5,19877.1,22412.9,14805.6,12269.8,2,1946,16128,21986,186.74,430.381,569.51,2025-Q4
2025-11,15416,17347.1,2531.3,-0.76,17501.3,19878.4,22409.7,14815.8,12284.5,2,1593,13821,18620,159.26,367.0476,-75.89,2025-Q4
2025-12,19616,17416.3,2580.6,0.85,18542.2,19996.9,22577.5,14835.7,12255.2,5,1782,17829,23225,202.64,467.0476,-599.86,2025-Q4
2026-01,16076,16972.0,2298.7,-0.39,17538.2,19270.7,21569.4,14673.3,12374.6,4,1564,14508,19240,185.49,369.5632,-240.6,2026-Q1
2026-02,15823,17115.8,2164.4,-0.6,17104.2,19280.2,21444.6,14951.5,12787.1,2,1412,14409,18665,182.57,363.7471,-307.86,2026-Q1
