month,reports,ma_6mo,avg_1yr,sd_1yr,z_score,rate_per_m,qtr_revenue
2023-03,3,3,3836,751,-5.1,0.1,154
2023-04,13,8,3836,751,-5.09,0.2,178
2023-05,22,13,3836,751,-5.08,0.4,178
2023-06,16,14,3836,751,-5.09,0.3,178
2023-07,17,14,3836,751,-5.09,0.3,187
2023-08,11,14,3836,751,-5.09,0.2,187
2023-09,9,15,3836,751,-5.1,0.1,187
2023-10,9,14,3836,751,-5.1,0.1,220
2023-11,82,24,3836,751,-5.0,1.1,220
2023-12,156,47,3836,751,-4.9,2.1,220
2024-01,73,57,3836,751,-5.01,1.3,171
2024-02,18,58,3836,751,-5.08,0.3,171
2024-03,64,67,3836,751,-5.02,1.1,171
2024-04,69,77,3836,751,-5.02,1.1,195
2024-05,218,100,3836,751,-4.82,3.4,195
2024-06,257,116,3836,751,-4.77,4.0,195
2024-07,680,218,3836,751,-4.2,10.2,200
2024-08,946,372,3836,751,-3.85,14.2,200
2024-09,890,510,3836,751,-3.92,13.3,200
2024-10,1334,721,3836,751,-3.33,17.0,235
2024-11,1393,917,3836,751,-3.25,17.8,235
2024-12,1937,1197,3836,751,-2.53,24.7,235
2025-01,3001,1584,3836,751,-1.11,48.7,185
2025-02,2416,1828,3836,751,-1.89,39.2,185
2025-03,2756,2140,3836,751,-1.44,44.7,185
2025-04,3383,2481,3836,751,-0.6,48.3,210
2025-05,3895,2898,3836,751,0.08,55.6,210
2025-06,3631,3180,3836,751,-0.27,51.9,210
2025-07,5536,3603,3836,751,2.26,77.2,215
2025-08,4356,3926,3836,751,0.69,60.8,215
2025-09,4484,4214,3836,751,0.86,62.6,215
2025-10,4225,4354,3836,751,0.52,52.8,240
2025-11,3137,4228,3836,751,-0.93,39.2,240
2025-12,3835,4262,3836,751,-0.0,47.9,240
2026-01,3684,3954,3836,751,-0.2,,
2026-02,3104,3745,3836,751,-0.97,,
