month,reports,ma_6mo,avg_1yr,sd_1yr,z_score,rate_per_m,qtr_revenue,mo_revenue
2023-03,9275,9275,17116,2261,-3.47,214.2,130,43.3
2023-04,14176,11726,17116,2261,-1.3,283.5,150,50.0
2023-05,15617,13023,17116,2261,-0.66,312.3,150,50.0
2023-06,15796,13716,17116,2261,-0.58,315.9,150,50.0
2023-07,14360,13845,17116,2261,-1.22,277.8,155,51.7
2023-08,17251,14412,17116,2261,0.06,333.7,155,51.7
2023-09,14283,15247,17116,2261,-1.25,276.3,155,51.7
2023-10,15832,15523,17116,2261,-0.57,256.6,185,61.7
2023-11,15861,15564,17116,2261,-0.56,257.1,185,61.7
2023-12,15261,15475,17116,2261,-0.82,247.3,185,61.7
2024-01,16263,15792,17116,2261,-0.38,348.2,140,46.7
2024-02,14598,15350,17116,2261,-1.11,312.6,140,46.7
2024-03,19228,16174,17116,2261,0.93,411.7,140,46.7
2024-04,20064,16879,17116,2261,1.3,376.4,160,53.3
2024-05,19622,17506,17116,2261,1.11,368.1,160,53.3
2024-06,16591,17728,17116,2261,-0.23,311.3,160,53.3
2024-07,24888,19165,17116,2261,3.44,452.5,165,55.0
2024-08,24192,20764,17116,2261,3.13,439.9,165,55.0
2024-09,19318,20779,17116,2261,0.97,351.2,165,55.0
2024-10,20688,20883,17116,2261,1.58,310.2,200,66.7
2024-11,15347,20171,17116,2261,-0.78,230.1,200,66.7
2024-12,18785,20536,17116,2261,0.74,281.6,200,66.7
2025-01,21408,19956,17116,2261,1.9,414.1,155,51.7
2025-02,14097,18274,17116,2261,-1.34,272.7,155,51.7
2025-03,16103,17738,17116,2261,-0.45,311.5,155,51.7
2025-04,16861,17100,17116,2261,-0.11,289.2,175,58.3
2025-05,15903,17193,17116,2261,-0.54,272.8,175,58.3
2025-06,13371,16290,17116,2261,-1.66,229.3,175,58.3
2025-07,22100,16406,17116,2261,2.2,368.3,180,60.0
2025-08,18427,17128,17116,2261,0.58,307.1,180,60.0
2025-09,17618,17380,17116,2261,0.22,293.6,180,60.0
2025-10,18076,17582,17116,2261,0.42,264.7,205,68.3
2025-11,15416,17501,17116,2261,-0.75,225.7,205,68.3
2025-12,19616,18542,17116,2261,1.11,287.2,205,68.3
2026-01,16076,17538,17116,2261,-0.46,,,
2026-02,15823,17104,17116,2261,-0.57,,,
